"year","last_name, first_name","pitcher_id","team_name","team_name_abbrev","pitch_hand","avg_speed","pitches_thrown","total_pitches","pitches_per_game","pitch_per","pitch_type","pitch_type_name","pitcher_break_z","league_break_z","diff_z","rise","pitcher_break_x","league_break_x","diff_x","tail","percent_rank_diff_z","percent_rank_diff_x"
"2023","Ashcraft, Graham","668933","Reds","CIN","R",95.8,"1229","2324",14.345679012345679,0.5288296041308089,"FC","Cutter",22.8,-21.8,-1,"-4",2.1,1.7,0.3,"19",0.3765432098765432,0.5370370370370371
"2023","Morton, Charlie","450203","Braves","ATL","R",82.3,"1227","2842",17.54320987654321,0.4317382125263899,"CU","Curveball",48.3,-47.4,0.9,"2",13.6,9.6,4,"42",0.5495495495495496,0.8558558558558559
"2023","Miller, Bryce","682243","Mariners","SEA","R",95.1,"1224","2095",12.932098765432098,0.5842482100238664,"FF","4-Seam Fastball",11.8,-14.7,2.9,"20",3.5,-7.9,-4.4,"-56",0.9877450980392157,0.0661764705882353
"2023","Corbin, Patrick","571578","Nationals","WSH","L",92.1,"1211","2922",18.037037037037038,0.4144421629021218,"SI","Sinker",21.9,-22.4,-0.5,"-2",14.6,-14.8,-0.2,"-1",0.4306569343065693,0.3686131386861314
"2023","Gilbert, Logan","669302","Mariners","SEA","R",95.7,"1206","2922",18.037037037037038,0.4127310061601643,"FF","4-Seam Fastball",12.8,-13.3,0.5,"4",6.1,-6.3,-0.1,"-2",0.6299019607843137,0.4485294117647059
"2023","Pivetta, Nick","601713","Red Sox","BOS","R",94.6,"1205","2383",14.709876543209877,0.5056651279899287,"FF","4-Seam Fastball",10.7,-13.5,2.8,"21",4,-5.5,-1.4,"-26",0.9852941176470589,0.2867647058823529
"2023","Smyly, Drew","592767","Cubs","CHC","L",78.6,"1186","2401",14.820987654320987,0.49396084964598086,"CU","Curveball",46.3,-54.5,-8.2,"-15",3.2,5.6,-8.7,"-156",0.04954954954954955,0.0045045045045045045
"2023","Gausman, Kevin","592332","Blue Jays","TOR","R",86.3,"1176","3069",18.944444444444443,0.3831867057673509,"FS","Split-Finger",32.2,-33,-0.8,"-3",16.3,-12,4.3,"36",0.375,1
"2023","Oviedo, Johan","670912","Pirates","PIT","R",95.8,"1167","2980",18.395061728395063,0.39161073825503356,"FF","4-Seam Fastball",19.5,-14.4,-5.1,"-36",9.8,-7.9,1.9,"24",0.014705882352941176,0.7377450980392157
"2023","Manaea, Sean","640455","Giants","SF","L",93.6,"1154","2052",12.666666666666666,0.5623781676413255,"FF","4-Seam Fastball",20.6,-15.6,-4.9,"-31",15,-7.5,7.5,"100",0.01715686274509804,0.9926470588235294
