"","term","estimate","std.error","statistic","p.value","Response","pitch","type"
"132","zone12",-0.240695153202685,0.0933949566364867,-2.5771750624557,0.00996114873259941,"strike","fastball","complex"
"133","zone13",0.368877771593364,0.111991295113714,3.29380753404818,0.00098840151834291,"strike","fastball","complex"
"134","zone14",-0.144520839947714,0.0981804720187208,-1.47199170034706,0.141023118831908,"strike","fastball","complex"
"135","zone16",-0.940651801346862,0.304658490048735,-3.08756142392877,0.00201806061116244,"strike","fastball","complex"
"136","zone17",-0.276449031162106,0.370681802820023,-0.745785277450832,0.455797134930986,"strike","fastball","complex"
"137","count0_1",-0.630991140496773,0.0397298144831847,-15.8820560504715,0.00000000000000000000000000000000000000000000000000000000843669710412025,"strike","fastball","complex"
"138","count0_2",-1.05471515170755,0.0609687595747034,-17.2992719396764,0.00000000000000000000000000000000000000000000000000000000000000000047637090788929,"strike","fastball","complex"
"139","count1_0",-0.324459050476953,0.04035504718299,-8.04011079470911,0.00000000000000089757278601448,"strike","fastball","complex"
"140","count1_1",-0.770880559786879,0.0446685915500117,-17.2577762816584,0.00000000000000000000000000000000000000000000000000000000000000000097805533335727,"strike","fastball","complex"
"141","count1_2",-1.01267039970102,0.049300772609689,-20.5406598334323,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000932866223614029,"strike","fastball","complex"
"142","count2_0",-0.431996517210969,0.0598208638841526,-7.2215024852794,0.00000000000051416281895687,"strike","fastball","complex"
"143","count2_1",-0.897472918068285,0.0579698926462979,-15.4817074363791,0.00000000000000000000000000000000000000000000000000000461071254175513,"strike","fastball","complex"
"144","count2_2",-1.20077475127408,0.0509048204295545,-23.5886256181925,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000504295383371378,"strike","fastball","complex"
"145","count3_0",0.661309272078776,0.0885410069631973,7.46896036944389,0.000000000000080830876420349,"strike","fastball","complex"
"146","count3_1",-0.918440675578368,0.0769892986255543,-11.9294589244838,0.00000000000000000000000000000000831119389611429,"strike","fastball","complex"
"147","count3_2",-1.47085921273121,0.0613263824560832,-23.9841183161996,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004073191972401,"strike","fastball","complex"
"148","pfx_total",0.341508082959384,0.12009437133781,2.84366435458299,0.00445980014410844,"strike","fastball","complex"
"149","break_change",0.90602064759465,0.110955694932421,8.1656074358912,0.000000000000000319821750922685,"strike","fastball","complex"
"150","distance",0.784059004083897,0.116361849383183,6.73811054258833,0.0000000000160459478194349,"strike","fastball","complex"
"151","release_spin_rate",0.000350751008305677,0.0000750660027754924,4.6725680779181,0.00000297456874584769,"strike","fastball","complex"
"152","I(plate_x^2)",-1.33736700867656,0.0604243252412542,-22.1329241714641,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000152369020769708,"strike","fastball","complex"
"153","I(plate_z^2)",-0.953465965793051,0.0533898472072495,-17.8585632974725,0.0000000000000000000000000000000000000000000000000000000000000000000000247939431032032,"strike","fastball","complex"
"154","(Intercept)",-1.68710682521685,0.018527750814093,-91.0583719602689,0,"whiff","slider","intercept only"
