"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"dist_z",3.33959435043321,2.09011220710799,1.59780625129886,0.11008610297827,"barrel","L","FC"
"I(dist_x^2)",-2.7479642361832,1.54119865452238,-1.78300456473912,0.0745855602653569,"barrel","L","FC"
"I(dist_z^2)",-6.15186078539689,3.01813610822602,-2.03829799743948,0.0415201400381764,"barrel","L","FC"
"pred",1033.19720849887,214.69966740778,4.81229068015517,0.0000014921011744503,"barrel","L","FC"
"(Intercept)",-34.9731540438751,5.17508648104186,-6.75798446499279,0.0000000000139924528878806,"benefit","L","FC"
"zone1",-0.247259047372534,0.451303257561929,-0.547877825452222,0.583775795724401,"benefit","L","FC"
"zone2",-0.237774232755407,0.4017980580013,-0.591775465362348,0.554000954508908,"benefit","L","FC"
"zone3",0.145197160594103,0.586347667764778,0.247629808348365,0.804420845166125,"benefit","L","FC"
"zone4",0.153529832784765,0.400107470063611,0.383721485530766,0.701184886323444,"benefit","L","FC"
"zone6",0.938744647134827,0.571633389118,1.64221451196764,0.100545556256815,"benefit","L","FC"
"zone7",0.510937910155881,0.405399839610506,1.26033081475013,0.207550048230543,"benefit","L","FC"
"zone8",0.633400875364845,0.419125781634802,1.51124293259713,0.130726567678866,"benefit","L","FC"
"zone9",1.40941629599831,0.724599702323572,1.94509643252507,0.0517633731951247,"benefit","L","FC"
"zone11",-1.03079102946394,0.445540712222405,-2.31357315097478,0.0206911478678945,"benefit","L","FC"
"zone12",0.174105277207172,0.65845872666163,0.264413349170542,0.791461426309951,"benefit","L","FC"
"zone13",-0.638013482578777,0.418022804823517,-1.52626477602851,0.126943937175646,"benefit","L","FC"
"zone14",-0.662483434839272,0.677718868869641,-0.977519536890304,0.328312010450246,"benefit","L","FC"
"dist_x",0.805706397559593,0.307527672671579,2.61994763124956,0.00879432707794973,"benefit","L","FC"
"I(dist_x^2)",-0.816196536123684,0.12987703409306,-6.28437923473719,0.000000000329166293378926,"benefit","L","FC"
"I(dist_z^2)",-0.453262016599529,0.0843835393185895,-5.37145064380674,0.0000000781057473304747,"benefit","L","FC"
"release_spin_rate",0.000964773309585713,0.000343709126229981,2.8069470257248,0.00500134656436886,"benefit","L","FC"
"pred",63.9234962754661,9.48937179047076,6.73632540561412,0.0000000000162442273470322,"benefit","L","FC"
"(Intercept)",-24.0565936906946,2.50593589994478,-9.5998439909116,0.000000000000000000000800655189138997,"whiff","R","SI"
"pitch_speed",0.132592653407101,0.0262183009111196,5.05725576407836,0.000000425332629910784,"whiff","R","SI"
"pfx_x",-0.0481767751436225,0.0178347623110309,-2.70128495706527,0.00690721310874733,"whiff","R","SI"
"pfx_total",0.136384666289085,0.0238236731600495,5.72475391904686,0.0000000103583774119564,"whiff","R","SI"
"dist_x",-0.71604709408261,0.081560072795253,-8.77938272419352,0.00000000000000000164374287055936,"whiff","R","SI"
"dist_z",0.418787271331107,0.0630869425436779,6.63825594402775,0.0000000000317416362113117,"whiff","R","SI"
"dist_prop",1.77210995714399,0.342077106923996,5.18044008580125,0.000000221363021671856,"whiff","R","SI"
"I(dist_x^2)",-1.10296019219663,0.136279770333375,-8.09335229651844,0.000000000000000580446700314968,"whiff","R","SI"
"I(dist_z^2)",-0.895499456163082,0.141972358121064,-6.30756203541723,0.000000000283464976597923,"whiff","R","SI"
"pred",101.998798514568,5.68556451786614,17.9399597338225,0.00000000000000000000000000000000000000000000000000000000000000000000000574967749523965,"whiff","R","SI"
"(Intercept)",-1.13896772498532,4.09038767927629,-0.278449822924079,0.780667077920736,"barrel","R","SI"
"pitch_speed",-0.0680344618336718,0.0438734177917506,-1.55069892563656,0.120973852117815,"barrel","R","SI"
"pfx_x",0.321326085433475,0.130067561678265,2.47045521025686,0.013494121606455,"barrel","R","SI"
"pfx_z",0.302948103171242,0.112107779198698,2.70229332287728,0.00688629818566305,"barrel","R","SI"
"pfx_total",-0.395650440603709,0.174827215909249,-2.26309409862757,0.0236298892684302,"barrel","R","SI"
"I(dist_x^2)",-1.25706412409927,0.17320986569077,-7.25746261095482,0.000000000000394418957772842,"barrel","R","SI"
"I(dist_z^2)",-1.57242399662344,0.24841788905861,-6.32975347541275,0.000000000245553200907557,"barrel","R","SI"
"pred",244.671034977037,17.6447889379749,13.8664755830804,0.000000000000000000000000000000000000000000101124897350247,"barrel","R","SI"
"(Intercept)",-15.4886998974223,2.01207700686406,-7.69786635629932,0.0000000000000138356961962692,"benefit","R","SI"
"pitch_speed",-0.0272347376886466,0.0145657853723363,-1.86977474900677,0.0615151042922076,"benefit","R","SI"
"pfx_x",-0.0556872863094441,0.034119222179101,-1.63213821279766,0.10265037337705,"benefit","R","SI"
"pfx_z",-0.0443810908563784,0.0281921731702915,-1.57423447239415,0.115433252524393,"benefit","R","SI"
"pfx_total",0.105111523693952,0.045214517504271,2.32472952263668,0.0200864276171767,"benefit","R","SI"
"zone1",0.407626071245488,0.228832362888862,1.78133051680046,0.0748584719429659,"benefit","R","SI"
"zone2",-0.000118813703975171,0.174202157433308,-0.00068204496273623,0.999455806896651,"benefit","R","SI"
"zone3",-0.115300921323712,0.212250188801222,-0.54323118379741,0.586970638543173,"benefit","R","SI"
"zone4",0.247046485071607,0.189546197866103,1.30335763973553,0.192452691243457,"benefit","R","SI"
"zone6",-0.00956475351925887,0.180983065677271,-0.052848886626303,0.957852310001423,"benefit","R","SI"
"zone7",0.654958678408295,0.229300702675876,2.85633088239638,0.00428568249138923,"benefit","R","SI"
"zone8",0.120153213208296,0.169137986813584,0.710385735764511,0.47746496625639,"benefit","R","SI"
"zone9",0.209971590503313,0.213587071989055,0.983072564027065,0.32557172626282,"benefit","R","SI"
"zone11",-0.88277778408913,0.256943403543938,-3.43568961846562,0.000591047688262986,"benefit","R","SI"
"zone12",-0.830479333935002,0.234593853122206,-3.54007286585802,0.000400016571829004,"benefit","R","SI"
"zone13",-1.00440507907463,0.251207989626067,-3.99830069326109,0.0000637988699794918,"benefit","R","SI"
"zone14",-0.736992238465622,0.23239857624661,-3.17124248508115,0.0015178838079847,"benefit","R","SI"
"dist_x",-0.330375042575091,0.077674099432617,-4.25334886388602,0.0000210597093783264,"benefit","R","SI"
"dist_prop",2.40793430128553,0.367320713268264,6.55540026550843,0.0000000000554928271862696,"benefit","R","SI"
"I(dist_x^2)",-1.70020602895851,0.136316064762379,-12.4725286922142,0.0000000000000000000000000000000000105426552504003,"benefit","R","SI"
"I(dist_z^2)",-1.92988529343004,0.143537530234182,-13.445161626241,0.0000000000000000000000000000000000000000328686836240334,"benefit","R","SI"
"release_spin_rate",-0.000276533511702398,0.000185480941204097,-1.49089987309322,0.135987784713686,"benefit","R","SI"
"pred",34.2369194124852,2.84389492518284,12.0387427500628,0.000000000000000000000000000000002223179858032,"benefit","R","SI"
