"x","z","phand","response","bhand","pitch","pred","zone","N"
-2,-2.3,"right","whiff","left","splitter",-2.66947773005494,14,610
-2,-2.3,"right","whiff","right","changeup",-3.36974774331223,14,1476
-2,-2.3,"right","whiff","right","curveball",-0.373006235905554,14,3107
-2,-2.3,"right","whiff","right","cutter",0.497678654856996,14,3843
-2,-2.3,"right","whiff","right","fastball",-8.81941578811051,14,4170
-2,-2.3,"right","whiff","right","sinker",-2.52308871144183,14,2446
-2,-2.3,"right","whiff","right","slider",0.484081496169892,14,10632
-2,-2.3,"right","whiff","right","splitter",-1.16362582758709,14,604
-2,-2.2,"right","barrel","left","changeup",-13.6912990608532,14,2301
-2,-2.2,"right","barrel","left","curveball",-12.6965848459941,14,3197
-2,-2.2,"right","barrel","left","cutter",-8.69558774880352,14,1858
-2,-2.2,"right","barrel","left","fastball",-8.7098371350165,14,1975
-2,-2.2,"right","barrel","left","sinker",-16.4420422220179,14,1118
-2,-2.2,"right","barrel","left","slider",-11.2153704502881,14,3081
-2,-2.2,"right","barrel","left","splitter",-15.2078309707512,14,610
-2,-2.2,"right","barrel","right","changeup",-14.6023536778316,14,1476
-2,-2.2,"right","barrel","right","curveball",-20.2541370329055,14,3107
-2,-2.2,"right","barrel","right","cutter",-14.4227131518873,14,3843
-2,-2.2,"right","barrel","right","fastball",-9.97800919454392,14,4170
-2,-2.2,"right","barrel","right","sinker",-10.9618731415142,14,2446
-2,-2.2,"right","barrel","right","slider",-15.4998591756737,14,10632
-2,-2.2,"right","barrel","right","splitter",-19.1703689723024,14,604
-2,-2.2,"right","benefit","left","changeup",-7.23771657529422,14,2301
-2,-2.2,"right","benefit","left","curveball",-4.63504447580837,14,3197
-2,-2.2,"right","benefit","left","cutter",-5.98553891727232,14,1858
-2,-2.2,"right","benefit","left","fastball",-9.95693940931773,14,1975
-2,-2.2,"right","benefit","left","sinker",-9.45368539307502,14,1118
-2,-2.2,"right","benefit","left","slider",-2.91009950000345,14,3081
-2,-2.2,"right","benefit","left","splitter",-6.43660688504685,14,610
-2,-2.2,"right","benefit","right","changeup",-5.65911289262595,14,1476
-2,-2.2,"right","benefit","right","curveball",-3.86789807893652,14,3107
-2,-2.2,"right","benefit","right","cutter",-5.02582111820513,14,3843
-2,-2.2,"right","benefit","right","fastball",-9.88235266562828,14,4170
-2,-2.2,"right","benefit","right","sinker",-9.09542670190605,14,2446
-2,-2.2,"right","benefit","right","slider",-3.27268236040571,14,10632
-2,-2.2,"right","benefit","right","splitter",-4.54568854311284,14,604
-2,-2.2,"right","whiff","left","changeup",-1.94465487085553,14,2301
-2,-2.2,"right","whiff","left","curveball",-0.640177168185619,14,3197
-2,-2.2,"right","whiff","left","cutter",-1.45868219886093,14,1858
-2,-2.2,"right","whiff","left","fastball",-9.61414015711316,14,1975
-2,-2.2,"right","whiff","left","sinker",-4.84953431858667,14,1118
-2,-2.2,"right","whiff","left","slider",0.963320885161455,14,3081
-2,-2.2,"right","whiff","left","splitter",-2.27428203138735,14,610
-2,-2.2,"right","whiff","right","changeup",-2.97808360114516,14,1476
-2,-2.2,"right","whiff","right","curveball",-0.226944490981742,14,3107
-2,-2.2,"right","whiff","right","cutter",0.733978941364692,14,3843
-2,-2.2,"right","whiff","right","fastball",-8.30039488586583,14,4170
-2,-2.2,"right","whiff","right","sinker",-2.39673499529601,14,2446
-2,-2.2,"right","whiff","right","slider",0.687915152551215,14,10632
-2,-2.2,"right","whiff","right","splitter",-0.799546615897329,14,604
-2,-2.1,"right","barrel","left","changeup",-13.0460296535703,14,2301
-2,-2.1,"right","barrel","left","curveball",-12.0461917205849,14,3197
-2,-2.1,"right","barrel","left","cutter",-8.15640797290509,14,1858
-2,-2.1,"right","barrel","left","fastball",-8.22971342607359,14,1975
-2,-2.1,"right","barrel","left","sinker",-15.6536542332441,14,1118
-2,-2.1,"right","barrel","left","slider",-10.5087607958867,14,3081
-2,-2.1,"right","barrel","left","splitter",-14.8993143124169,14,610
-2,-2.1,"right","barrel","right","changeup",-14.0596304813593,14,1476
-2,-2.1,"right","barrel","right","curveball",-19.1336232775994,14,3107
-2,-2.1,"right","barrel","right","cutter",-13.7222496022588,14,3843
-2,-2.1,"right","barrel","right","fastball",-9.49055441337203,14,4170
-2,-2.1,"right","barrel","right","sinker",-10.420864832996,14,2446
-2,-2.1,"right","barrel","right","slider",-14.6377080943449,14,10632
-2,-2.1,"right","barrel","right","splitter",-18.2377864741304,14,604
-2,-2.1,"right","benefit","left","changeup",-6.93326698586665,14,2301
-2,-2.1,"right","benefit","left","curveball",-4.54002923533094,14,3197
-2,-2.1,"right","benefit","left","cutter",-5.64680282664359,14,1858
-2,-2.1,"right","benefit","left","fastball",-9.32756697779146,14,1975
-2,-2.1,"right","benefit","left","sinker",-8.88738839712763,14,1118
-2,-2.1,"right","benefit","left","slider",-2.78451577730007,14,3081
-2,-2.1,"right","benefit","left","splitter",-6.1741758424211,14,610
-2,-2.1,"right","benefit","right","changeup",-5.33702559944062,14,1476
-2,-2.1,"right","benefit","right","curveball",-3.77985987690214,14,3107
-2,-2.1,"right","benefit","right","cutter",-4.757538846496,14,3843
-2,-2.1,"right","benefit","right","fastball",-9.23450065462421,14,4170
-2,-2.1,"right","benefit","right","sinker",-8.52427126803772,14,2446
-2,-2.1,"right","benefit","right","slider",-3.12357291387142,14,10632
-2,-2.1,"right","benefit","right","splitter",-4.36222973620686,14,604
-2,-2.1,"right","whiff","left","changeup",-1.67870938242787,14,2301
-2,-2.1,"right","whiff","left","curveball",-0.454873239545215,14,3197
-2,-2.1,"right","whiff","left","cutter",-1.28714099578717,14,1858
-2,-2.1,"right","whiff","left","fastball",-9.10081221207093,14,1975
-2,-2.1,"right","whiff","left","sinker",-4.60713783064807,14,1118
-2,-2.1,"right","whiff","left","slider",1.19946862499047,14,3081
-2,-2.1,"right","whiff","left","splitter",-1.91054724622827,14,610
-2,-2.1,"right","whiff","right","changeup",-2.6145790010303,14,1476
-2,-2.1,"right","whiff","right","curveball",-0.0919696934935645,14,3107
-2,-2.1,"right","whiff","right","cutter",0.954129699036631,14,3843
-2,-2.1,"right","whiff","right","fastball",-7.80127604176243,14,4170
-2,-2.1,"right","whiff","right","sinker",-2.27769037728178,14,2446
-2,-2.1,"right","whiff","right","slider",0.875723639324939,14,10632
-2,-2.1,"right","whiff","right","splitter",-0.463257576052667,14,604
-2,-2,"right","barrel","left","changeup",-12.4307727768587,14,2301
-2,-2,"right","barrel","left","curveball",-11.4311235111823,14,3197
-2,-2,"right","barrel","left","cutter",-7.64444460368096,14,1858
-2,-2,"right","barrel","left","fastball",-7.77192105243035,14,1975
-2,-2,"right","barrel","left","sinker",-14.9047150367882,14,1118
-2,-2,"right","barrel","left","slider",-9.83929021979322,14,3081
-2,-2,"right","barrel","left","splitter",-14.5977121616948,14,610
-2,-2,"right","barrel","right","changeup",-13.5421502242578,14,1476
-2,-2,"right","barrel","right","curveball",-18.0708742645706,14,3107
-2,-2,"right","barrel","right","cutter",-13.054365752613,14,3843
-2,-2,"right","barrel","right","fastball",-9.02418574834618,14,4170
-2,-2,"right","barrel","right","sinker",-9.90501970161824,14,2446
-2,-2,"right","barrel","right","slider",-13.8174969980661,14,10632
-2,-2,"right","barrel","right","splitter",-17.3534837127979,14,604
-2,-2,"right","benefit","left","changeup",-6.64498237822581,14,2301
-2,-2,"right","benefit","left","curveball",-4.4481755842245,14,3197
-2,-2,"right","benefit","left","cutter",-5.32382190302085,14,1858
-2,-2,"right","benefit","left","fastball",-8.72854230347264,14,1975
-2,-2,"right","benefit","left","sinker",-8.3504602657776,14,1118
-2,-2,"right","benefit","left","slider",-2.66545178154752,14,3081
-2,-2,"right","benefit","left","splitter",-5.92723923310354,14,610
-2,-2,"right","benefit","right","changeup",-5.03173514252694,14,1476
-2,-2,"right","benefit","right","curveball",-3.69455065610975,14,3107
-2,-2,"right","benefit","right","cutter",-4.50153420405772,14,3843
-2,-2,"right","benefit","right","fastball",-8.61821789169107,14,4170
-2,-2,"right","benefit","right","sinker",-7.98211940286931,14,2446
-2,-2,"right","benefit","right","slider",-2.98213903513984,14,10632
-2,-2,"right","benefit","right","splitter",-4.18854781971783,14,604
-2,-2,"right","whiff","left","changeup",-1.43432791072585,14,2301
-2,-2,"right","whiff","left","curveball",-0.286455829615659,14,3197
