"","term","estimate","std.error","statistic","p.value","Response","Hand","Pitch"
"22","I(dist_x^2)",-0.821764146370278,0.0953007805615346,-8.62284801371249,0.00000000000000000653091120149372,"whiff","left","fastball"
"23","I(dist_z^2)",-0.906990279409056,0.0970718667627393,-9.34349270964264,0.0000000000000000000093207554212802,"whiff","left","fastball"
"24","release_spin_rate",0.000669665014277385,0.000134798226250081,4.96790672182145,0.000000676795017920545,"whiff","left","fastball"
"25","pred_bwhiff",17.9896904079459,0.757565683605823,23.7467071136584,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011882734648567,"whiff","left","fastball"
"26","(Intercept)",3.76152189520019,1.65744923708181,2.26946431362381,0.0232401050032367,"barrel","left","fastball"
"27","pitch_speed",-0.0913939690081704,0.0176526425627821,-5.17735340094976,0.000000225055660632485,"barrel","left","fastball"
"28","dist_x",-0.0657829674310047,0.16193730791122,-0.406224904436902,0.684577356842844,"barrel","left","fastball"
"29","dist_z",0.314447140744046,0.206039321370802,1.52615111839816,0.126972233841578,"barrel","left","fastball"
"30","zone1",-0.0824230495708938,0.26297491126717,-0.313425524791434,0.753957394462356,"barrel","left","fastball"
"31","zone2",-0.103707218901005,0.181555870756249,-0.571213800297532,0.567854724636805,"barrel","left","fastball"
"32","zone3",-0.213005771476764,0.257805723632963,-0.826225921112674,0.408675946707714,"barrel","left","fastball"
"33","zone4",0.409896013843396,0.195992111261076,2.09139036875512,0.0364930848417342,"barrel","left","fastball"
"34","zone6",0.0440485578934143,0.185138438598507,0.237922271716563,0.811941381118203,"barrel","left","fastball"
"35","zone7",0.653973967771941,0.324053590605602,2.01810437140898,0.0435803925170475,"barrel","left","fastball"
"36","zone8",-0.22082187087477,0.266398635240537,-0.828915173215451,0.407152408842274,"barrel","left","fastball"
"37","zone9",-0.554990260283597,0.349147737411368,-1.58955708663151,0.111934676597488,"barrel","left","fastball"
"38","zone11",-0.0114650020362695,0.395549781226242,-0.0289849788330735,0.976876570716464,"barrel","left","fastball"
"39","zone12",0.349929601145518,0.361258719668159,0.968639875231116,0.332724900745399,"barrel","left","fastball"
"40","zone13",0.311818775998973,0.586257732114796,0.531880022928065,0.594809094217246,"barrel","left","fastball"
"41","zone14",-14.5206330478708,263.709767762537,-0.0550629321434396,0.956088327184656,"barrel","left","fastball"
"42","zone16",-11.3774008124795,434.906280681542,-0.0261605806075047,0.97912925723128,"barrel","left","fastball"
"43","zone17",-9.52908656341012,692.94973887242,-0.0137514830136396,0.989028249815364,"barrel","left","fastball"
"44","I(dist_x^2)",-1.01325071579986,0.134366137154602,-7.5409678156782,0.0000000000000466496248479977,"barrel","left","fastball"
"45","I(dist_z^2)",-1.04445188886643,0.164395065637642,-6.35330436966154,0.000000000210738149151228,"barrel","left","fastball"
"46","pred_bbarrel",97.3829550860135,6.19037673439693,15.7313454841777,0.0000000000000000000000000000000000000000000000000000000922301928289316,"barrel","left","fastball"
"47","(Intercept)",-2.8414442709819,0.217249918284881,-13.0791500103393,0.00000000000000000000000000000000000000433257790621252,"strike","left","fastball"
"48","pfx_z",0.290553453717187,0.0575135856035607,5.05190992124821,0.000000437413990258383,"strike","left","fastball"
"49","zone1",-0.732926088101034,0.106341016234279,-6.89222384791146,0.00000000000549268496355494,"strike","left","fastball"
"50","zone2",-0.695616779823133,0.0811741111134407,-8.56944129454044,0.0000000000000000103988315971608,"strike","left","fastball"
"51","zone3",-0.501771758411282,0.0963464976569763,-5.20799168224824,0.000000190895480093558,"strike","left","fastball"
"52","zone4",-0.665865566381801,0.0915855851777471,-7.27041886656624,0.000000000000358374504208806,"strike","left","fastball"
"53","zone6",-0.0942931458760887,0.0790406228301997,-1.19297068393117,0.232880854553503,"strike","left","fastball"
"54","zone7",0.331129055885314,0.120815398545043,2.74078519686265,0.0061292563145531,"strike","left","fastball"
"55","zone8",0.221959951514303,0.0894711159635615,2.48080007859407,0.0131087873091629,"strike","left","fastball"
"56","zone9",0.583617586860651,0.10435058400276,5.59285405480062,0.0000000223367042322672,"strike","left","fastball"
"57","zone11",-0.439785916363929,0.121882989204809,-3.60826329607755,0.000308253573675057,"strike","left","fastball"
"58","zone12",-0.847285800311449,0.111592039564531,-7.5927082578456,0.0000000000000313287384231083,"strike","left","fastball"
"59","zone13",-0.623214853467432,0.158505135749219,-3.93182751159219,0.0000843025462564487,"strike","left","fastball"
"60","zone14",-0.796498438499011,0.120453305260766,-6.61250794882461,0.000000000037786281986051,"strike","left","fastball"
"61","zone16",-0.0952320045845457,0.35028068971034,-0.271873407190378,0.785719359303031,"strike","left","fastball"
"62","zone17",-10.3665585322052,89.2860265989361,-0.116105049435908,0.907569287010688,"strike","left","fastball"
"63","dist_x",0.225518599826589,0.0411671118974047,5.47812536348479,0.0000000429855552639212,"strike","left","fastball"
"64","dist_z",0.235044950047136,0.0447277648133273,5.25501220613423,0.000000148014654378446,"strike","left","fastball"
"65","dist_prop",3.29377605378191,0.183115861928325,17.9873879799182,0.00000000000000000000000000000000000000000000000000000000000000000000000244619585216894,"strike","left","fastball"
"66","I(dist_x^2)",-1.83531815222702,0.0755078204001976,-24.3063320130244,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000168027984952521,"strike","left","fastball"
"67","I(dist_z^2)",-1.86227057460756,0.0772910562573647,-24.0942570173521,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000287140434475354,"strike","left","fastball"
"68","release_spin_rate",0.000231956312011862,0.0000860439146628773,2.69578985243378,0.00702219531599057,"strike","left","fastball"
"69","pred_bwhiff",5.21395994385291,0.552959119915119,9.42919604012186,0.00000000000000000000413244156650816,"strike","left","fastball"
"70","(Intercept)",-16.1000825910117,0.803144714668575,-20.046303358487,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000217412181139551,"whiff","left","fastball"
"71","pitch_speed",0.0958973516466042,0.00858380736956164,11.1718899921564,0.0000000000000000000000000000559769507017219,"whiff","left","fastball"
"72","pfx_total",0.780523382942974,0.0900591514922002,8.6667858847257,0.00000000000000000444489730496167,"whiff","left","fastball"
"73","zone1",0.0779471816952239,0.150345704774438,0.518453000118407,0.604142244219814,"whiff","left","fastball"
"74","zone2",-0.158454396269093,0.125121232747078,-1.26640693022419,0.205367431046533,"whiff","left","fastball"
"75","zone3",0.0333463739799114,0.158956499038581,0.209783017250636,0.833837028403236,"whiff","left","fastball"
"76","zone4",0.122586415848468,0.128234634325167,0.955954032961358,0.33909545851072,"whiff","left","fastball"
"77","zone6",-0.3214466468384,0.151540077299239,-2.12119891032954,0.0339050669392814,"whiff","left","fastball"
"78","zone7",-0.144900771917568,0.22416305627613,-0.646407906479807,0.518015221344871,"whiff","left","fastball"
"79","zone8",0.079164768160105,0.179874026007033,0.440112282564965,0.659855786463255,"whiff","left","fastball"
"80","zone9",0.0148773473131407,0.244895897775854,0.0607496795506043,0.951558566152636,"whiff","left","fastball"
"81","zone11",0.0210504534707105,0.172477542302332,0.122047503632743,0.902861396987647,"whiff","left","fastball"
"82","zone12",0.27996551708373,0.178489938298888,1.56852268397851,0.11675920030366,"whiff","left","fastball"
"83","zone13",0.2449738185319,0.236734488257773,1.03480409776693,0.30076040884324,"whiff","left","fastball"
"84","zone14",0.984098445395417,0.265590581918844,3.70532131932347,0.000211122918983577,"whiff","left","fastball"
"85","zone16",-0.679351112173755,0.336870174820005,-2.01665556333903,0.0437314702400272,"whiff","left","fastball"
"86","zone17",3.68170042767076,1.07830715815123,3.41433366164708,0.000639382216341705,"whiff","left","fastball"
"87","dist_x",-0.316380646055991,0.0605615607141991,-5.22411645811191,0.000000174988626860748,"whiff","left","fastball"
"88","dist_z",1.15282406461802,0.100248801821762,11.4996293588395,0.00000000000000000000000000000132483100269447,"whiff","left","fastball"
"89","dist_prop",1.19878207570906,0.26544137398193,4.5161839607968,0.00000629639714429366,"whiff","left","fastball"
"90","I(dist_x^2)",-1.14984987426643,0.0991439764401503,-11.5977784586899,0.000000000000000000000000000000422914253014509,"whiff","left","fastball"
"91","I(dist_z^2)",-1.05548688853823,0.0989413837116642,-10.6677999532949,0.0000000000000000000000000143995411736917,"whiff","left","fastball"
"92","release_spin_rate",0.000720695726788376,0.000134415025783488,5.36171996090117,0.0000000824332648525862,"whiff","left","fastball"
"93","pred_bwhiff",16.3673479424073,0.610763056032493,26.7981957663407,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000339153610313271,"whiff","left","fastball"
"94","(Intercept)",0.805560818184394,1.81276708284186,0.444381865607092,0.656766522158934,"barrel","left","fastball"
"95","pitch_speed",-0.0613142251223236,0.0195649655562392,-3.13387851085537,0.00172512264435467,"barrel","left","fastball"
"96","pfx_x",-0.646769268807596,0.14936448175397,-4.33014101620853,0.0000149013885525361,"barrel","left","fastball"
"97","zone1",0.571798051144,0.277459379297746,2.0608351845637,0.0393187665385591,"barrel","left","fastball"
"98","zone2",0.0485404277750858,0.200684564676778,0.241874246050088,0.808877606374657,"barrel","left","fastball"
"99","zone3",-0.207131288825944,0.282345399579338,-0.733609575840606,0.463186723083685,"barrel","left","fastball"
"100","zone4",-0.0739156358121418,0.236906709593613,-0.312003133802904,0.755038141707764,"barrel","left","fastball"
"101","zone6",-0.171825934851414,0.211321421259386,-0.813102305612958,0.416159404675144,"barrel","left","fastball"
"102","zone7",0.0879727517781102,0.349938197837481,0.251395110113034,0.801508647908044,"barrel","left","fastball"
"103","zone8",0.237833846432962,0.237536884832278,1.00125017047729,0.316705876732883,"barrel","left","fastball"
"104","zone9",0.0583952521358662,0.314382749435673,0.185745726318278,0.852644167829219,"barrel","left","fastball"
"105","zone11",-0.0639266330576563,0.479012919154381,-0.133454924703301,0.893833610197595,"barrel","left","fastball"
"106","zone12",-0.26183593275069,0.443845927627996,-0.589925279139081,0.555240745448837,"barrel","left","fastball"
"107","zone13",-14.4170976187232,379.49499260488,-0.0379902183155654,0.969695481053031,"barrel","left","fastball"
"108","zone14",-0.0484417793374513,0.516237015872495,-0.0938363151963823,0.925239183589718,"barrel","left","fastball"
"109","zone16",-9.72127479595739,324.644383611518,-0.0299443800253456,0.976111411562058,"barrel","left","fastball"
"110","zone17",-10.1085659856338,992.926029869782,-0.0101805831265794,0.991877210217014,"barrel","left","fastball"
"111","dist_x",0.502816011525193,0.188964978433675,2.66089523938786,0.00779332006707919,"barrel","left","fastball"
"112","dist_z",0.00858573896591022,0.203689695080627,0.0421510718179027,0.966378266897453,"barrel","left","fastball"
"113","I(dist_x^2)",-1.06344564508071,0.155770025569588,-6.82702362789063,0.00000000000866944215995921,"barrel","left","fastball"
"114","I(dist_z^2)",-1.11005016103645,0.172792494360248,-6.42418043183146,0.000000000132581870156345,"barrel","left","fastball"
"115","pred_bbarrel",84.8360455387115,5.20597343393569,16.2959044288814,0.0000000000000000000000000000000000000000000000000000000000105530927390364,"barrel","left","fastball"
"116","(Intercept)",-3.76940419887611,0.526722285454777,-7.15634083266777,0.000000000000828589836788355,"strike","left","fastball"
"117","pitch_speed",-0.0198102944573979,0.00552021267865823,-3.58868319222314,0.000332352418040522,"strike","left","fastball"
"118","pfx_total",0.549602639946698,0.0565136207330619,9.72513586667376,0.000000000000000000000235590673567256,"strike","left","fastball"
"119","zone1",-0.61494846834504,0.099130121048843,-6.20344716458123,0.0000000005523959140028,"strike","left","fastball"
"120","zone2",-0.845939020321269,0.0826296402044111,-10.2377187922949,0.00000000000000000000000134367119749466,"strike","left","fastball"
"121","zone3",-0.67359223775636,0.103264363767128,-6.52298831061781,0.000000000068920236121357,"strike","left","fastball"
"122","zone4",-0.217825388729467,0.08228016892961,-2.64736195322855,0.0081122473236739,"strike","left","fastball"
"123","zone6",-0.426782005333086,0.0870167317266918,-4.90459704546882,0.000000936193274720778,"strike","left","fastball"
"124","zone7",0.631396063417076,0.110609095538667,5.70835572194286,0.0000000114072816133002,"strike","left","fastball"
"125","zone8",0.240576104279616,0.0879517604745405,2.73531880409894,0.00623198861472325,"strike","left","fastball"
"126","zone9",0.447890646765897,0.110367910083087,4.05816007958034,0.0000494608606777818,"strike","left","fastball"
"127","zone11",-1.05388517413556,0.112839225269022,-9.33970586578356,0.0000000000000000000096602104364891,"strike","left","fastball"
"128","zone12",-0.772644609493573,0.118247064758123,-6.5341546623084,0.0000000000639698140988118,"strike","left","fastball"
"129","zone13",-0.800033173390574,0.12685248477191,-6.30679938851091,0.000000000284864666946282,"strike","left","fastball"
"130","zone14",-0.960063244975312,0.148558785833928,-6.4625140787604,0.000000000102977561404446,"strike","left","fastball"
"131","zone16",-0.611790889051428,0.308014897815899,-1.98623798195987,0.0470069052883999,"strike","left","fastball"
"132","zone17",-0.00282569777629671,1.03808403306494,-0.00272203182622302,0.997828135513899,"strike","left","fastball"
"133","dist_x",-0.357666382002215,0.0414392664077456,-8.6310983037905,0.00000000000000000607656295168389,"strike","left","fastball"
