"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"zone12",0.284368397128479,0.179168507595811,1.58715614113385,0.112477285356528,"whiff","L","FF"
"zone13",0.20964111180368,0.237238931245995,0.883670781615104,0.376873957395769,"whiff","L","FF"
"zone14",1.00402847205953,0.267582559018933,3.75221941123782,0.000175275957048547,"whiff","L","FF"
"dist_x",-0.341316442215902,0.06187926599526,-5.51584503672114,0.0000000347108014487623,"whiff","L","FF"
"dist_z",1.14866294023018,0.101676024597326,11.2972841412644,0.0000000000000000000000000000135338941952212,"whiff","L","FF"
"dist_prop",1.28423558351598,0.271305264729325,4.73354464682886,0.00000220632403553959,"whiff","L","FF"
"I(dist_x^2)",-1.19515267582784,0.102551627915464,-11.6541560589661,0.000000000000000000000000000000218534797191294,"whiff","L","FF"
"I(dist_z^2)",-1.09132358218386,0.101849362734878,-10.71507521382,0.00000000000000000000000000864869322812488,"whiff","L","FF"
"release_spin_rate",0.000722868569631653,0.000136678355712345,5.28882986530076,0.000000123101325413606,"whiff","L","FF"
"pred",15.9011269975701,0.593758890888682,26.7804444557803,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000054602210815428,"whiff","L","FF"
"(Intercept)",0.86145197248895,1.84753950420407,0.466269852703403,0.641022355008371,"Barrel","L","FF"
"pitch_speed",-0.0701691619122822,0.0203311184908068,-3.45131832978155,0.000557855176302319,"Barrel","L","FF"
"pfx_x",-0.795010979662533,0.168073990291904,-4.73012497818247,0.00000224381661156621,"Barrel","L","FF"
"pfx_total",-0.356552504012358,0.21349507490667,-1.67007367344762,0.0949047881415958,"Barrel","L","FF"
"zone1",0.587263641437133,0.250152511262018,2.34762241032237,0.0188936637484607,"Barrel","L","FF"
"zone2",0.0557946529339893,0.167915326227654,0.33227850123904,0.739678972080849,"Barrel","L","FF"
"zone3",-0.200884475493037,0.263240789308918,-0.763120624354666,0.445391461119004,"Barrel","L","FF"
"zone4",-0.0587395515186153,0.23691395650953,-0.247936222855036,0.804183752937785,"Barrel","L","FF"
"zone6",-0.17010351369356,0.211351155151752,-0.804838343899396,0.420912971609319,"Barrel","L","FF"
"zone7",0.0280455427849775,0.326105099329281,0.0860015462581246,0.931465188045795,"Barrel","L","FF"
"zone8",0.225010021569557,0.183559071184096,1.22581804384862,0.220267155454564,"Barrel","L","FF"
"zone9",0.0498783874754605,0.27264918029493,0.182939803528864,0.854845251172706,"Barrel","L","FF"
"zone11",-0.0344102678771308,0.453458421152031,-0.0758840640553329,0.939511335341213,"Barrel","L","FF"
"zone12",-0.244759910029488,0.428298217404969,-0.571470765188967,0.567680572004852,"Barrel","L","FF"
"zone13",-13.3979540897823,230.575550732063,-0.058106568746099,0.953663742133152,"Barrel","L","FF"
"zone14",-0.0524999977880619,0.486254043654014,-0.107968249258236,0.914020878365835,"Barrel","L","FF"
"dist_x",0.50693023552873,0.188986967243163,2.6823555238943,0.00731057215250282,"Barrel","L","FF"
"I(dist_x^2)",-1.07679367971839,0.156334870485546,-6.887738329741,0.00000000000566863552282543,"Barrel","L","FF"
"I(dist_z^2)",-1.11222207247649,0.165074501339579,-6.7376976059344,0.0000000000160916019160954,"Barrel","L","FF"
"release_spin_rate",0.000508868310359439,0.000306551875978263,1.65997454341307,0.0969195738129144,"Barrel","L","FF"
"pred",83.5750618796237,5.15171553089062,16.2227633452376,0.0000000000000000000000000000000000000000000000000000000000348171219265154,"Barrel","L","FF"
"(Intercept)",-3.92530679227301,0.529470008610516,-7.41365276302272,0.000000000000122867364325993,"STRIKE","L","FF"
"pitch_speed",-0.0198533932870482,0.00553210951382206,-3.58875637538343,0.000332259150286749,"STRIKE","L","FF"
"pfx_total",0.552618297537271,0.0566363934054408,9.75730028537064,0.000000000000000000000171664079877961,"STRIKE","L","FF"
"zone1",-0.646352945234603,0.0994463568376082,-6.4995135647862,0.0000000000805801359529804,"STRIKE","L","FF"
"zone2",-0.866380328421669,0.0829397965286583,-10.4458940663341,0.000000000000000000000000153006789874229,"STRIKE","L","FF"
"zone3",-0.68780387392631,0.103611894691422,-6.63827136811596,0.0000000000317383156535889,"STRIKE","L","FF"
"zone4",-0.245991972872404,0.0825760216454354,-2.978975833065,0.00289213587846417,"STRIKE","L","FF"
"zone6",-0.436768438300287,0.0873538675156493,-4.99998970534465,0.000000573333755076227,"STRIKE","L","FF"
"zone7",0.602296011015351,0.110837676969757,5.43403675971748,0.0000000550932234563788,"STRIKE","L","FF"
"zone8",0.222007620282519,0.0881620747271637,2.51817599539903,0.0117964360549546,"STRIKE","L","FF"
"zone9",0.435611722446575,0.110684934370242,3.93560085593449,0.0000829888029147116,"STRIKE","L","FF"
"zone11",-1.06859506491335,0.112959259824836,-9.46000413397187,0.00000000000000000000307931031700718,"STRIKE","L","FF"
"zone12",-0.772933739337415,0.1184326040381,-6.52635940596868,0.0000000000673875107922678,"STRIKE","L","FF"
"zone13",-0.821832534047193,0.126989731978603,-6.47164555151329,0.0000000000969413133519408,"STRIKE","L","FF"
"zone14",-0.958295585561014,0.148777355645601,-6.44113871632285,0.000000000118580430514936,"STRIKE","L","FF"
"dist_x",-0.369851110214723,0.0417864605596594,-8.8509796058625,0.000000000000000000867544123183635,"STRIKE","L","FF"
"dist_z",0.235001276892921,0.04645577990044,5.05860147857932,0.000000422342475015554,"STRIKE","L","FF"
"dist_prop",3.80373208100385,0.184243776083088,20.6451048815266,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000108027837808138,"STRIKE","L","FF"
"I(dist_x^2)",-2.10466669891784,0.0774978503155774,-27.1577429612237,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000205131049145807,"STRIKE","L","FF"
"I(dist_z^2)",-1.94697922566892,0.0780551207955578,-24.943645027063,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000250285694540953,"STRIKE","L","FF"
"release_spin_rate",0.000442423196533647,0.0000866149676666435,5.10793005472691,0.00000032570716693992,"STRIKE","L","FF"
"pred",7.394041633401,0.408290130651717,18.1097731203998,0.00000000000000000000000000000000000000000000000000000000000000000000000026684592345097,"STRIKE","L","FF"
"(Intercept)",-7.22772962737543,0.325420118669875,-22.2104572296209,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000272154140032965,"whiff","R","SL"
"pfx_x",0.305691717465356,0.129948557942779,2.35240561576653,0.0186524227991564,"whiff","R","SL"
"pfx_z",0.412635859425515,0.0863451500233602,4.77891183597317,0.000001762464503132,"whiff","R","SL"
"pfx_total",-0.500071833964434,0.140797427684612,-3.55171143527281,0.00038273435220344,"whiff","R","SL"
"zone1",0.332654339794507,0.294427399494025,1.12983486036345,0.25854581604356,"whiff","R","SL"
"zone2",0.442224581451718,0.201977350375602,2.18947610031197,0.0285622537882414,"whiff","R","SL"
"zone3",-0.335311709499894,0.238328566619176,-1.40693041651061,0.159448023192427,"whiff","R","SL"
"zone4",-0.820605896003372,0.288061906645357,-2.84871368644258,0.00438963641985757,"whiff","R","SL"
"zone6",-0.45567723554782,0.170154692780089,-2.67801744461286,0.0074059361066526,"whiff","R","SL"
"zone7",-0.332114485500475,0.273389098051973,-1.21480515451036,0.224440414451434,"whiff","R","SL"
"zone8",0.00975572899552669,0.1670148868948,0.0584123318400451,0.953420192157322,"whiff","R","SL"
"zone9",-0.0535779154114537,0.19102375491506,-0.280477762754049,0.779110983821093,"whiff","R","SL"
"zone11",0.768534761268138,0.356015421841393,2.15871199425323,0.0308725176755066,"whiff","R","SL"
"zone12",-0.567553356337372,0.254374914656698,-2.23116873416287,0.025669954179139,"whiff","R","SL"
"zone13",-0.00796123682793889,0.260107338447654,-0.0306075056376815,0.975582556322347,"whiff","R","SL"
