"term","estimate","std.error","statistic","p.value","Response","BHand","Pitch"
"zone8",0.187688295955422,0.133656844844473,1.40425502467773,0.160242921839395,"benefit","L","CU"
"zone9",0.402010444002815,0.148961511965727,2.69875378342904,0.00695996482928492,"benefit","L","CU"
"zone11",0.240577943109866,0.223800319623629,1.07496693264091,0.282389533265488,"benefit","L","CU"
"zone12",-0.401776775714713,0.299988340174572,-1.33930797270623,0.180470434329292,"benefit","L","CU"
"zone13",0.152197381478921,0.159824922891141,0.952275644660158,0.34095720631943,"benefit","L","CU"
"zone14",-0.15440231313897,0.159029973679867,-0.970900702340475,0.331597728394725,"benefit","L","CU"
"dist_x",-0.222376671078904,0.055600230053403,-3.99956386628824,0.000063459321292777,"benefit","L","CU"
"dist_z",-0.460509123810573,0.0803954173200899,-5.7280519109327,0.0000000101590482609305,"benefit","L","CU"
"dist_prop",-1.92677132221486,0.112206635477093,-17.1716344048852,0.00000000000000000000000000000000000000000000000000000000000000000433052490246294,"benefit","L","CU"
"I(dist_x^2)",-0.0910537257669651,0.0377008199206836,-2.41516566373165,0.0157280543693703,"benefit","L","CU"
"release_spin_rate",0.00018734689356727,0.000103484578603035,1.8103846592054,0.0702361566025033,"benefit","L","CU"
"pred",22.3340509479092,1.75014218705428,12.7612779767913,0.000000000000000000000000000000000000269739037717345,"benefit","L","CU"
"(Intercept)",-9.40753508493497,0.597049430082519,-15.7567106020598,0.0000000000000000000000000000000000000000000000000000000617651982326004,"whiff","R","FC"
"pfx_x",0.129833130899641,0.0201142841275138,6.45477264199752,0.000000000108381491144089,"whiff","R","FC"
"pfx_z",0.119696336858534,0.0313943372440327,3.81267283740112,0.000137472031384855,"whiff","R","FC"
"pfx_total",-0.132948579379318,0.0365572771127405,-3.63671996055156,0.000276131852139418,"whiff","R","FC"
"zone1",-0.7651794982499,0.385128850529591,-1.9868142757877,0.0469429820280954,"whiff","R","FC"
"zone2",-0.107075888112722,0.236712250884302,-0.452346203936262,0.651019595317915,"whiff","R","FC"
"zone3",-1.04767191304597,0.291838466760275,-3.58990343074465,0.000330800490435061,"whiff","R","FC"
"zone4",-1.8108426007728,0.490045297530222,-3.69525554045567,0.000219665743690852,"whiff","R","FC"
"zone6",-1.20909010941977,0.245061715706329,-4.93381883798075,0.000000806372376338982,"whiff","R","FC"
"zone7",-1.85172258975439,0.545577194130736,-3.39406157309182,0.000688642074297595,"whiff","R","FC"
"zone8",-1.14525251634352,0.261176691786781,-4.38497213709438,0.0000116000625394281,"whiff","R","FC"
"zone9",-1.04454791074242,0.272925200810501,-3.82723144524743,0.000129592651540904,"whiff","R","FC"
"zone11",-1.38658117404737,0.452802972258469,-3.06221747426138,0.00219703767399076,"whiff","R","FC"
"zone12",-1.7855745880727,0.338129906905588,-5.2807354558296,0.000000128666355935353,"whiff","R","FC"
"zone13",-1.68043380139858,0.505250648934075,-3.32594090664463,0.000881206086946795,"whiff","R","FC"
"zone14",-0.9116899142267,0.32367705850676,-2.8166652231476,0.00485250767919325,"whiff","R","FC"
"dist_x",-0.237315329446561,0.157199565821499,-1.50964366985614,0.131134371943586,"whiff","R","FC"
"dist_prop",3.13915553446717,0.403231726871153,7.78499142124855,0.00000000000000697179378980611,"whiff","R","FC"
"I(dist_x^2)",-1.00228494382198,0.108501508608711,-9.23752081122222,0.0000000000000000000252274508427564,"whiff","R","FC"
"I(dist_z^2)",-1.04646535930235,0.108533437851905,-9.6418705609442,0.000000000000000000000532093977016927,"whiff","R","FC"
"release_spin_rate",0.000282014367712551,0.000186264933732945,1.51404970361671,0.130013233769709,"whiff","R","FC"
"pred",48.6239771424891,2.97293868962863,16.3555263726488,0.0000000000000000000000000000000000000000000000000000000000039726085949659,"whiff","R","FC"
"(Intercept)",-6.99536787900997,0.396675063073441,-17.6350079201092,0.00000000000000000000000000000000000000000000000000000000000000000000132677585033043,"barrel","R","FC"
"I(dist_x^2)",-1.63460643901725,0.229168332132669,-7.13277626016386,0.000000000000983643823424956,"barrel","R","FC"
"I(dist_z^2)",-1.62898499913601,0.281633461759902,-5.78406056211017,0.00000000729186707040009,"barrel","R","FC"
"pred",254.877014863646,19.8647484007372,12.83061882899,0.00000000000000000000000000000000000011047820619521,"barrel","R","FC"
"(Intercept)",-7.95946638970935,1.38255864184277,-5.75705517930177,0.00000000855939386990718,"benefit","R","FC"
