"","x","z","phand","response","bhand","pitch","pred"
"178",-2,-2.1,"right","barrel","right","cutter",-13.7222496022588
"179",-2,-2.1,"right","barrel","right","fastball",-9.49055441337203
"180",-2,-2.1,"right","barrel","right","sinker",-10.420864832996
"181",-2,-2.1,"right","barrel","right","slider",-14.6377080943449
"182",-2,-2.1,"right","barrel","right","splitter",-18.2377864741304
"183",-2,-2.1,"right","benefit","left","changeup",-6.93326698586665
"184",-2,-2.1,"right","benefit","left","curveball",-4.54002923533094
"185",-2,-2.1,"right","benefit","left","cutter",-5.64680282664359
"186",-2,-2.1,"right","benefit","left","fastball",-9.32756697779146
"187",-2,-2.1,"right","benefit","left","sinker",-8.88738839712763
"188",-2,-2.1,"right","benefit","left","slider",-2.78451577730007
"189",-2,-2.1,"right","benefit","left","splitter",-6.1741758424211
"190",-2,-2.1,"right","benefit","right","changeup",-5.33702559944062
"191",-2,-2.1,"right","benefit","right","curveball",-3.77985987690214
"192",-2,-2.1,"right","benefit","right","cutter",-4.757538846496
"193",-2,-2.1,"right","benefit","right","fastball",-9.23450065462421
"194",-2,-2.1,"right","benefit","right","sinker",-8.52427126803772
"195",-2,-2.1,"right","benefit","right","slider",-3.12357291387142
"196",-2,-2.1,"right","benefit","right","splitter",-4.36222973620686
"197",-2,-2.1,"right","whiff","left","changeup",-1.67870938242787
"198",-2,-2.1,"right","whiff","left","curveball",-0.454873239545215
"199",-2,-2.1,"right","whiff","left","cutter",-1.28714099578717
"200",-2,-2.1,"right","whiff","left","fastball",-9.10081221207093
"201",-2,-2.1,"right","whiff","left","sinker",-4.60713783064807
"202",-2,-2.1,"right","whiff","left","slider",1.19946862499047
"203",-2,-2.1,"right","whiff","left","splitter",-1.91054724622827
"204",-2,-2.1,"right","whiff","right","changeup",-2.6145790010303
"205",-2,-2.1,"right","whiff","right","curveball",-0.0919696934935645
"206",-2,-2.1,"right","whiff","right","cutter",0.954129699036631
"207",-2,-2.1,"right","whiff","right","fastball",-7.80127604176243
"208",-2,-2.1,"right","whiff","right","sinker",-2.27769037728178
"209",-2,-2.1,"right","whiff","right","slider",0.875723639324939
"210",-2,-2.1,"right","whiff","right","splitter",-0.463257576052667
"211",-2,-2,"right","barrel","left","changeup",-12.4307727768587
"212",-2,-2,"right","barrel","left","curveball",-11.4311235111823
"213",-2,-2,"right","barrel","left","cutter",-7.64444460368096
"214",-2,-2,"right","barrel","left","fastball",-7.77192105243035
"215",-2,-2,"right","barrel","left","sinker",-14.9047150367882
"216",-2,-2,"right","barrel","left","slider",-9.83929021979322
"217",-2,-2,"right","barrel","left","splitter",-14.5977121616948
"218",-2,-2,"right","barrel","right","changeup",-13.5421502242578
"219",-2,-2,"right","barrel","right","curveball",-18.0708742645706
"220",-2,-2,"right","barrel","right","cutter",-13.054365752613
"221",-2,-2,"right","barrel","right","fastball",-9.02418574834618
"222",-2,-2,"right","barrel","right","sinker",-9.90501970161824
"223",-2,-2,"right","barrel","right","slider",-13.8174969980661
"224",-2,-2,"right","barrel","right","splitter",-17.3534837127979
"225",-2,-2,"right","benefit","left","changeup",-6.64498237822581
"226",-2,-2,"right","benefit","left","curveball",-4.4481755842245
"227",-2,-2,"right","benefit","left","cutter",-5.32382190302085
"228",-2,-2,"right","benefit","left","fastball",-8.72854230347264
"229",-2,-2,"right","benefit","left","sinker",-8.3504602657776
"230",-2,-2,"right","benefit","left","slider",-2.66545178154752
"231",-2,-2,"right","benefit","left","splitter",-5.92723923310354
"232",-2,-2,"right","benefit","right","changeup",-5.03173514252694
"233",-2,-2,"right","benefit","right","curveball",-3.69455065610975
"234",-2,-2,"right","benefit","right","cutter",-4.50153420405772
"235",-2,-2,"right","benefit","right","fastball",-8.61821789169107
