"Name","pitch_type","p_throws","hitter","Pitches","Speed","Spin Rate","X Movement","Z Movement","Whiff Prop","Benefit Prop","Barrel Prop"
"Aaron Nola","KC","R","R",498,79.2556224899598,2611.29919678715,1.15943775100402,-0.84566265060241,0.208835341365462,0.55421686746988,0.0140562248995984
"Aaron Nola","SI","R","L",219,91.9050228310502,2238.68493150685,-1.41315068493151,0.718493150684931,0.0502283105022831,0.502283105022831,0.0228310502283105
"Aaron Nola","SI","R","R",435,91.3374712643678,2239.53103448276,-1.40747126436782,0.715425287356322,0.0413793103448276,0.593103448275862,0.0160919540229885
"Abner Uribe","SI","R","R",110,98.4936363636364,2308.87272727273,-1.05645454545455,0.655636363636364,0.0818181818181818,0.536363636363636,0.0181818181818182
"Adam Cimber","FF","R","L",110,84.9163636363636,2264.17272727273,-0.692818181818182,0.605363636363636,0.0545454545454545,0.427272727272727,0.0181818181818182
"Adam Cimber","SI","R","R",150,85.2913333333333,2216.88,-1.05473333333333,-0.284666666666667,0.06,0.533333333333333,0.02
"Adam Mazur","FF","R","L",140,94.4064285714286,2104.20714285714,-0.4435,1.43828571428571,0.0428571428571429,0.442857142857143,0
"Adam Mazur","SL","R","R",124,86.9072580645161,2393.86290322581,0.112177419354839,0.153145161290323,0.120967741935484,0.540322580645161,0.00806451612903226
"Adam Oller","FF","R","L",163,93.798773006135,2192.56441717791,-0.98319018404908,1.4198773006135,0.0797546012269939,0.447852760736196,0.0368098159509202
"Adam Oller","FF","R","R",135,93.8222222222222,2211.71851851852,-0.990962962962963,1.45044444444444,0.0370370370370371,0.540740740740741,0.00740740740740741
"Adam Oller","SV","R","R",121,85.597520661157,2334.74380165289,0.865702479338843,-0.32595041322314,0.115702479338843,0.528925619834711,0
"Adam Ottavino","SI","R","R",259,92.1030888030888,2208.62890625,-1.33710424710425,0.455752895752896,0.0424710424710425,0.55984555984556,0.00386100386100386
"Adam Ottavino","ST","R","L",137,78.8401459854015,2738.48175182482,1.45773722627737,-0.0621167883211679,0.116788321167883,0.54014598540146,0.0072992700729927
"Adam Ottavino","ST","R","R",247,78.9518218623482,2717.25409836066,1.42801619433198,0.13995951417004,0.11336032388664,0.538461538461539,0.00809716599190283
"Adrian Houser","CH","R","L",106,84.0245283018868,1540,-1.22688679245283,0.369245283018868,0.132075471698113,0.433962264150943,0.0188679245283019
"Adrian Houser","FF","R","L",127,93.4850393700787,2205.56451612903,-0.77007874015748,1.32763779527559,0.062992125984252,0.496062992125984,0.031496062992126
"Adrian Houser","SI","R","L",212,92.4297169811321,2071.22966507177,-1.40014150943396,0.667735849056604,0.0707547169811321,0.514150943396226,0.0141509433962264
"Adrian Houser","SI","R","R",291,92.6171821305842,2074.23487544484,-1.39941580756014,0.637972508591065,0.027491408934708,0.536082474226804,0.0103092783505155
"Adrian Houser","SL","R","R",118,83.05,2191.7264957265,0.493389830508475,0.0639830508474576,0.076271186440678,0.474576271186441,0.0169491525423729
"Adrian Morejon","FF","L","L",101,96.8049504950495,2493.13861386139,0.530990099009901,1.34722772277228,0.138613861386139,0.415841584158416,0.0099009900990099
"Adrian Morejon","FF","L","R",144,96.9076388888889,2483.23611111111,0.513958333333333,1.37680555555556,0.131944444444444,0.465277777777778,0.0277777777777778
"Adrian Morejon","SI","L","L",194,97.2376288659794,2430.35567010309,1.29546391752577,0.856288659793814,0.077319587628866,0.685567010309278,0
"Adrian Morejon","SI","L","R",193,97.6025906735751,2407,1.31751295336788,0.871968911917098,0.0621761658031088,0.549222797927461,0.0207253886010363
"Adrian Morejon","SL","L","L",135,86.2437037037037,2748.52592592593,-0.550666666666667,-0.236296296296296,0.155555555555556,0.422222222222222,0.0222222222222222
"Adrian Morejon","SL","L","R",188,85.8164893617021,2740.74468085106,-0.544308510638298,-0.285585106382979,0.175531914893617,0.553191489361702,0.0106382978723404
"Albert Suárez","CH","R","L",286,86.2804195804196,2032.85664335664,-1.3441958041958,0.673741258741259,0.104895104895105,0.458041958041958,0.013986013986014
"Albert Suárez","CU","R","L",137,78.8197080291971,2351.40145985401,0.46992700729927,-0.593430656934307,0.0875912408759125,0.467153284671533,0.0218978102189781
"Albert Suárez","CU","R","R",159,79.1754716981132,2361.13836477987,0.484339622641509,-0.560503144654088,0.10062893081761,0.427672955974843,0.0125786163522013
