"Name","pitch_type","p_throws","hitter","Pitches","Speed","Spin Rate","X Movement","Z Movement","Whiff Prop","Strike Prop","Barrel Prop","Good Outcome Prop"
"Dane Dunning","SI","R","R",563,89.5163410301954,2004.59680284192,-1.27827708703375,0.45246891651865,0.0373001776198934,0.714031971580817,0.0106571936056838,0.573712255772647
"Dane Dunning","SL","R","L",194,78.4128865979381,2060.95360824742,0.76139175257732,-0.356185567010309,0.0824742268041237,0.525773195876289,0.0103092783505155,0.407216494845361
"Dane Dunning","SL","R","R",516,78.8459302325581,2088.39341085271,0.577732558139535,-0.340910852713178,0.151162790697674,0.546511627906977,0.0251937984496124,0.445736434108527
"Daniel Lynch IV","CH","L","R",418,84.8019184652278,1671.35251798561,1.09551558752998,0.863453237410072,0.138755980861244,0.636363636363636,0.00956937799043062,0.509569377990431
"Daniel Lynch IV","CU","L","R",133,81.3428571428571,2096.66165413534,-0.148195488721805,-0.417142857142857,0.0827067669172932,0.556390977443609,0.0225563909774436,0.488721804511278
"Daniel Lynch IV","FF","L","L",129,93.9968992248062,2115.48062015504,0.515426356589147,1.27627906976744,0.0542635658914729,0.558139534883721,0.00775193798449612,0.410852713178295
"Daniel Lynch IV","FF","L","R",914,94.04704595186,2126.23741794311,0.576619256017506,1.30574398249453,0.0864332603938731,0.62472647702407,0.0164113785557987,0.479212253829322
"Daniel Lynch IV","SL","L","L",128,85.8046875,1996.796875,-0.040078125,0.27515625,0.1015625,0.65625,0.015625,0.5
"Daniel Lynch IV","SL","L","R",592,86.0496621621622,2022.7347972973,-0.0329560810810811,0.284054054054054,0.162162162162162,0.677364864864865,0.0185810810810811,0.494932432432432
"David Peterson","CH","L","R",297,85.8430976430976,1630.68686868687,1.34905723905724,0.506397306397306,0.0808080808080808,0.471380471380471,0.00336700336700337,0.393939393939394
"David Peterson","FF","L","L",159,93.9584905660377,2132.14465408805,0.705220125786164,1.15591194968553,0.106918238993711,0.70440251572327,0.0188679245283019,0.60377358490566
"David Peterson","FF","L","R",557,93.6228007181329,2068.93716337522,0.762836624775583,1.14229802513465,0.0718132854578097,0.639138240574506,0.0125673249551167,0.513464991023339
"David Peterson","SI","L","R",168,93.0517857142857,2089.82738095238,1.38535714285714,0.785357142857143,0.0416666666666667,0.5,0.0178571428571429,0.410714285714286
"David Peterson","SL","L","L",162,84.6895061728395,2324.77160493827,-0.318950617283951,0.0727777777777778,0.228395061728395,0.567901234567901,0.0185185185185185,0.462962962962963
"David Peterson","SL","L","R",388,84.315206185567,2324.98195876289,-0.330516795865633,0.0970618556701031,0.224226804123711,0.63659793814433,0.0128865979381443,0.479381443298969
"Dean Kremer","CH","R","L",187,84.1459893048128,1587.2192513369,-1.24,0.0755614973262032,0.0962566844919786,0.53475935828877,0.0053475935828877,0.427807486631016
"Dean Kremer","CH","R","R",112,83.05625,1568.33035714286,-1.28383928571429,0.188214285714286,0.0982142857142857,0.553571428571429,0,0.357142857142857
"Dean Kremer","CU","R","L",100,76.297,2699.76767676768,0.9658,-1.1802,0.08,0.51,0.02,0.39
"Dean Kremer","CU","R","R",140,76.6328571428571,2694.98571428571,0.897857142857143,-1.26385714285714,0.128571428571429,0.607142857142857,0.0214285714285714,0.521428571428571
"Dean Kremer","FC","R","L",164,88.3640243902439,2490.89024390244,0.3625,0.706646341463415,0.0914634146341463,0.75609756097561,0.0182926829268293,0.530487804878049
"Dean Kremer","FC","R","R",437,87.8597254004577,2472.99771167048,0.402951945080092,0.66837528604119,0.11441647597254,0.677345537757437,0.0091533180778032,0.540045766590389
"Dean Kremer","FF","R","L",298,93.996644295302,2252.31543624161,-0.803087248322148,1.35134228187919,0.104026845637584,0.677852348993289,0.00671140939597315,0.557046979865772
"Dean Kremer","FF","R","R",339,93.0834808259587,2218.86725663717,-0.680324483775811,1.41079646017699,0.0884955752212389,0.707964601769911,0.0294985250737463,0.581120943952802
"Dean Kremer","SI","R","R",157,91.5140127388535,2131.21656050955,-1.34872611464968,1.00585987261146,0.0254777070063694,0.713375796178344,0.0127388535031847,0.560509554140127
"Drew Rasmussen","FC","R","L",315,90.3530158730159,2608.43174603175,0.105555555555556,0.37752380952381,0.187301587301587,0.711111111111111,0.00317460317460317,0.587301587301587
"Drew Rasmussen","FC","R","R",412,90.2123786407767,2615.30582524272,0.123252427184466,0.346771844660194,0.138349514563107,0.713592233009709,0.0169902912621359,0.616504854368932
"Drew Rasmussen","FF","R","L",378,95.4113756613757,2389.35978835979,-0.20484126984127,1.37071428571429,0.0634920634920635,0.695767195767196,0.0158730158730159,0.552910052910053
"Drew Rasmussen","FF","R","R",420,95.4928571428571,2405.5119047619,-0.17597619047619,1.3865,0.0857142857142857,0.659523809523809,0.0119047619047619,0.521428571428571
"Drew Rasmussen","ST","R","L",151,84.7019867549669,2463.84768211921,1.01013245033113,-0.292251655629139,0.132450331125828,0.609271523178808,0.0132450331125828,0.450331125827815
"Drew Rasmussen","ST","R","R",363,84.5079889807162,2472.15426997245,1.03768595041322,-0.305812672176309,0.112947658402204,0.617079889807163,0.0220385674931129,0.449035812672176
"Drew Smyly","CU","L","L",118,78.8228813559322,2124.61016949153,0.211694915254237,-0.0111864406779661,0.0677966101694915,0.584745762711865,0.0169491525423729,0.406779661016949
"Drew Smyly","CU","L","R",622,78.6914790996785,2117.44855305466,0.222154340836013,-0.00500000000000002,0.135048231511254,0.678456591639871,0.0128617363344051,0.517684887459807
"Drew Smyly","FC","L","L",159,88.6251572327044,2106.86163522013,0.302264150943396,0.94685534591195,0.0880503144654088,0.60377358490566,0.0125786163522013,0.528301886792453
"Drew Smyly","FC","L","R",181,88.5961325966851,2098.98342541436,0.294419889502762,0.919337016574586,0.0441988950276243,0.61878453038674,0.0441988950276243,0.497237569060773
