"","first_name","last_name","player_id","pitch_hand","team","pitch_type","pitch_name","pitches","pitch_usage","pitch_speed","spin_rate","pitcher_break_x","pitcher_break_z","rv100","run_value","PA","AVG","SLG","wOBA","whiff_percent","k_percent","put_away","xBA","xSLG","xwOBA","hard_hit_percent"
"618","Shawn","Armstrong",542888,"R","TB","SI","Sinker",373,35.6,95.6,2151,15.5,18.6,-0.3,-1,98,0.322,0.448,0.386,17,10.2,11.2,0.261,0.374,0.32,26.9
"619","Kyle","Freeland",607536,"L","COL","CH","Changeup",388,13.7,84.8,1479,10.9,30.7,-3.2,-12,98,0.38,0.576,0.459,16.4,3.1,12,0.373,0.58,0.43,48.9
"620","Vladimir","Gutierrez",661269,"R","CIN","FF","4-Seamer",340,49.7,92.8,2140,12,17.7,-4.3,-15,98,0.316,0.747,0.484,12.3,13.3,14,0.251,0.533,0.396,53.7
"621","Jake","Odorizzi",543606,"R","ATL","FC","Cutter",381,21.2,87.6,2077,2.6,23.3,0.3,1,98,0.231,0.407,0.304,22.2,20.4,21.7,0.248,0.423,0.313,28.8
"622","Chris","Flexen",623167,"R","SEA","CH","Changeup",355,16.1,81.1,1309,12.6,32.9,1.6,6,98,0.165,0.264,0.22,33.1,22.4,21.4,0.222,0.354,0.282,24.6
"623","Ty","Blach",621389,"L","COL","SI","Sinker",370,54.9,91.1,2185,14.2,24.1,-0.8,-3,98,0.264,0.437,0.326,18.2,18.4,21.4,0.262,0.388,0.309,44.4
"624","Jesús","Luzardo",666200,"L","MIA","CH","Changeup",372,22.6,87.2,1900,15.6,27.7,1.4,5,97,0.19,0.298,0.269,44.9,27.8,25,0.219,0.346,0.298,27.6
"625","Brandon","Hughes",676714,"L","CHC","SL","Slider",435,44.7,82.9,2372,3.9,36.6,0.4,2,97,0.172,0.356,0.278,49.1,38.1,24,0.19,0.303,0.271,29.4
"626","Mitch","Keller",656605,"R","PIT","CU","Curveball",411,15.4,78.7,2576,11.2,60,-2.3,-9,97,0.275,0.429,0.337,20,18.6,15.1,0.25,0.379,0.298,41.1
"627","Jordan","Weems",607179,"R","WSH","FF","4-Seamer",471,63.8,96.8,2134,6.8,11.1,-0.9,-4,97,0.244,0.547,0.36,22.5,20.6,13.6,0.237,0.445,0.326,45.6
"628","Tucker","Davidson",656353,"L","LAA","FF","4-Seamer",380,41.7,93.1,2017,3.5,14.3,-2.4,-9,97,0.289,0.539,0.436,14,2.1,2.5,0.295,0.492,0.416,48.6
"629","Bryan","Abreu",650556,"R","HOU","FF","4-Seamer",459,45,97.2,2312,6.3,12,-0.4,-2,97,0.287,0.362,0.351,26.6,19.6,18.4,0.252,0.375,0.356,33.9
"630","Dylan","Coleman",669395,"R","KC","ST","Sweeper",393,32.6,82.5,2447,15.5,36.6,0.5,2,97,0.183,0.268,0.266,41.8,30.9,22.7,0.212,0.287,0.286,30.2
"631","Adam","Cimber",643256,"R","TOR","SL","Slider",369,35.3,77.8,2473,7.4,37.5,0.2,1,97,0.227,0.409,0.301,17.4,15.5,17,0.256,0.444,0.321,35.5
