"","batter_name","batter_id","PA","H","HR","k_percent","bb_percent","AVG","SLG","OBP","OPS","SB","wOBA","xwOBA","EV","sweet_spot_percent","barrel_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent"
"214","Raleigh, Cal",663728,415,78,27,29.4,9.2,0.211,0.489,0.284,0.773,1,0.33,0.324,90.9,36,15.4,8.7,17.8,36.4,19.4,2.4,43.5
"215","Garcia, Adolis",666969,657,151,27,27.9,6.1,0.25,0.456,0.3,0.756,25,0.324,0.322,92.1,36.9,12.9,9.3,22.9,22.9,28.7,2.8,47.4
"216","Rivas III, Alfonso",663845,287,59,3,30.3,10.1,0.235,0.307,0.322,0.629,6,0.285,0.284,86.9,34.7,4.2,3,29.3,19.8,32.3,10.2,35.3
"217","Anderson, Brian",605119,383,75,8,26.4,9.7,0.222,0.346,0.311,0.657,1,0.293,0.309,88.7,31.1,9.7,4.2,24.8,20.2,34.5,6.3,42
"218","McCutchen, Andrew",457705,580,122,17,21.4,9.8,0.237,0.384,0.316,0.7,8,0.309,0.325,89.1,36.2,8.6,5.8,24.1,26.3,31.9,3,40
"219","Vogelbach, Daniel",596129,461,92,18,24.7,15.8,0.238,0.433,0.36,0.793,0,0.349,0.35,89.4,38.1,10.6,7.7,24.5,26,29.3,1.5,39.9
"220","Moncada, Yoan",660162,433,84,12,26.3,7.4,0.212,0.353,0.273,0.626,2,0.275,0.289,88.7,35.1,9.8,6.3,22.1,30.2,28.8,2.1,37.5
"221","Jimenez, Eloy",650391,327,86,16,22,8.6,0.295,0.5,0.358,0.858,0,0.37,0.365,92.8,31.7,14.7,8.5,21.4,14.3,39.7,1.3,54.9
"222","Brown, Seth",664913,555,115,25,26.3,9.2,0.23,0.444,0.305,0.749,11,0.323,0.338,89.2,34.9,13,5.4,23.4,29.6,24.8,3.7,41.4
"223","Casali, Curt",592200,176,30,5,28.4,13.6,0.203,0.331,0.318,0.649,0,0.295,0.289,87.1,35,6,6,24,41,17,5,39
"224","La Stella, Tommy",600303,195,43,2,15.4,5.6,0.239,0.35,0.282,0.632,0,0.277,0.267,87.9,37.3,2,6.5,24.2,32,34.6,0.7,32
"225","Longoria, Evan",446334,298,65,14,27.9,9.1,0.244,0.451,0.315,0.766,0,0.33,0.324,91.1,33.3,12.4,10.2,23.1,25.8,25.3,3.2,46.8
"226","Haggerty, Sam",664059,201,45,5,26.4,9,0.256,0.403,0.335,0.738,13,0.32,0.285,86,32.5,4,2.4,28.6,24.6,32.5,7.9,24.6
"227","Turner, Justin",457759,532,130,13,16.7,9.4,0.278,0.438,0.35,0.788,3,0.343,0.339,89.5,40.6,8,6.2,27.1,33.1,22.7,2.6,40.6
"228","Abreu, Jose",547989,679,183,15,16.2,9.1,0.304,0.446,0.378,0.824,0,0.361,0.373,92.2,34.5,9.5,7.7,26.7,19,33.9,2.8,51.8
"229","Chapman, Matt",656305,621,123,27,27.4,11,0.229,0.433,0.324,0.757,2,0.331,0.341,92.2,34,12.9,8.8,24.1,28.7,22.5,2.7,51.2
"230","Castillo, Diego",660636,283,54,11,26.5,4.9,0.206,0.382,0.251,0.633,1,0.272,0.292,89.1,37.7,9.9,8.4,21.5,25.7,32.5,2.1,38.7
"231","Hilliard, Sam",656541,200,32,2,28.5,11.5,0.184,0.264,0.28,0.544,5,0.251,0.303,92,27.7,9.2,9.2,19.3,26.9,32.8,2.5,48.7
"232","Refsnyder, Rob",608701,177,47,6,26,8.5,0.307,0.497,0.384,0.881,1,0.381,0.374,89.9,49.1,10.9,11.8,31.8,15.5,27.3,2.7,44.5
"233","Acuna Jr., Ronald",660670,533,124,15,23.6,9.9,0.266,0.413,0.351,0.764,29,0.335,0.365,91.2,32.8,12.8,6.1,21.8,20.3,32.3,5.8,49.7
"234","Hedges, Austin",595978,338,48,7,23.1,7.4,0.163,0.248,0.241,0.489,2,0.225,0.238,84.2,31.9,3.1,4.4,19.2,33.6,30.1,9.2,22.3
"235","Wendle, Joey",621563,371,90,3,13.5,4,0.259,0.36,0.297,0.657,12,0.289,0.276,87.5,27.9,1.7,5,25.2,21.3,42.9,3.7,36.2
"236","Miranda, Jose",669304,483,119,15,18.8,5.8,0.268,0.426,0.325,0.751,1,0.329,0.317,89.3,34.2,6.2,7.9,26.8,26.3,29.4,3.1,42.4
"237","Alfaro, Jorge",595751,274,63,7,35.8,4,0.246,0.383,0.285,0.668,1,0.291,0.295,89.4,38.5,11.2,4.3,21.7,21.1,34.8,5.6,38.5
"238","Phillips, Brett",621433,225,29,5,41.8,7.1,0.144,0.249,0.217,0.466,7,0.213,0.22,88.5,32.1,4.5,5.4,25,34.8,23.2,7.1,29.5
"239","Rengifo, Luis",650859,511,129,17,15.5,3.3,0.264,0.429,0.294,0.723,6,0.314,0.296,86.9,31.1,5.4,4.9,23.1,23.8,37.7,5.1,33.6
"240","Mejia, Francisco",642336,299,70,6,21.7,2.3,0.242,0.381,0.264,0.645,0,0.279,0.262,86.8,39.1,2.7,5.8,29.8,32.4,27.1,2.2,28
"241","Nola, Austin",543592,397,87,4,15.1,8.6,0.251,0.329,0.321,0.65,2,0.29,0.305,89.4,35.4,2.4,6.7,30.3,26.3,32,2,39.7
"242","Cordero, Franchy",614173,275,53,8,33.5,10.2,0.219,0.397,0.3,0.697,4,0.304,0.313,89.7,39,12.3,10.4,21.4,22.1,25.3,8.4,45.5
"243","Meyers, Jake",676694,160,34,1,33.8,4.4,0.227,0.313,0.269,0.582,2,0.258,0.251,87.3,30.9,5.2,5.2,25.8,15.5,41.2,6.2,37.1
"244","Thomas, Lane",657041,548,120,17,24.1,7.5,0.241,0.404,0.301,0.705,8,0.308,0.286,86.4,32.6,6.5,5.7,22.4,26.4,33.2,4.9,34.5
"245","Stallings, Jacob",607732,384,77,4,21.6,7.6,0.223,0.292,0.292,0.584,0,0.265,0.274,86.7,33.5,3.4,6,25.6,28.2,34.2,2.6,32.3
"246","Arroyo, Christian",624414,300,80,6,16.3,4.3,0.286,0.414,0.322,0.736,5,0.319,0.33,88.9,34.9,6.4,4.3,34,18.3,31.9,5.1,42.1
"247","McCarthy, Jake",664983,354,91,8,21.5,6.5,0.283,0.427,0.342,0.769,23,0.337,0.298,87.4,32.5,4.8,3.2,25.3,20.5,37.8,8.4,33.7
"248","Cabrera, Oswaldo",665828,171,38,6,25.7,8.8,0.247,0.429,0.312,0.741,3,0.322,0.287,86.8,41.1,6.3,8.9,26.8,37.5,17,3.6,34.8
"249","Wade Jr., LaMonte",664774,251,45,8,20.3,10.4,0.207,0.359,0.305,0.664,1,0.298,0.321,87.7,33.7,9.5,5.9,19.5,33.7,26,5.3,34.3
"250","Brantley Jr., Michael",488726,277,70,5,10.8,11.2,0.288,0.416,0.37,0.786,1,0.345,0.374,89.8,39.5,6,6.5,32.1,20.9,30.2,2.8,45.1
"251","Kepler, Max",596146,446,88,9,14.8,11,0.227,0.348,0.318,0.666,3,0.298,0.338,89.1,31.9,7.1,5.2,25.2,25.2,33.7,3.7,39.9
"252","Gimenez, Andres",665926,557,146,17,20.1,6.1,0.297,0.466,0.371,0.837,20,0.364,0.326,87.8,31.3,6.2,6.5,25.6,20.7,32.4,8.5,37.8
"253","Naquin, Tyler",571980,334,71,11,27.8,5.7,0.229,0.423,0.282,0.705,4,0.303,0.317,90.3,39.9,9.6,6.9,25.7,25.2,26.6,5,40.8
"254","Franco, Wander",677551,344,87,6,9.6,7.6,0.277,0.417,0.328,0.745,8,0.323,0.331,87.3,35.1,4.6,4.9,28.1,23.5,34.4,4.6,35.8
"255","Isbel, Kyle",664728,278,54,5,27,5.8,0.211,0.34,0.264,0.604,9,0.265,0.266,89.7,30.4,4.9,7.1,23.4,25,32.6,6.5,44.6
"256","Sosa, Edmundo",624641,190,40,2,26.3,2.6,0.227,0.369,0.275,0.644,6,0.282,0.286,86.8,34.4,5.5,6.3,25.8,22.7,34.4,5.5,29.7
"257","Lindor, Francisco",596019,706,170,26,18.8,8.4,0.27,0.449,0.339,0.788,16,0.342,0.331,89.3,29.2,8.3,6.2,22.4,26.8,32.3,3.8,41.3
"258","Rendon, Anthony",543685,193,38,5,18.1,11.9,0.229,0.38,0.326,0.706,2,0.314,0.331,89.6,42.1,8.3,6.8,23.3,32.3,26.3,1.5,37.6
"259","Turner, Trea",607208,708,194,21,18.5,6.4,0.298,0.466,0.343,0.809,27,0.35,0.335,88.9,35.3,7.6,6.5,24.3,24.3,34.5,2.3,41.6
"260","Rosario, Amed",642708,670,180,11,16.6,3.7,0.283,0.403,0.312,0.715,18,0.311,0.31,88.4,31.1,4.5,5.5,24.5,18.1,42.6,4.5,38.3
"261","Freeman, Freddie",518692,708,199,21,14.4,11.9,0.325,0.511,0.407,0.918,13,0.393,0.403,91.3,42.9,9.9,8.5,30.4,21.7,27.5,1.5,47.8
"262","Bradley Jr., Jackie",598265,370,70,4,20.8,6.5,0.203,0.311,0.255,0.566,2,0.252,0.268,87.6,29.4,4.8,7.4,22.3,21.9,36.8,6.7,37.2
"263","Suarez, Eugenio",553993,629,128,31,31.2,11.6,0.236,0.459,0.332,0.791,0,0.344,0.339,89.8,36.4,14.8,7.4,20.5,29,24.4,3.7,43.5
"264","Newman, Kevin",621028,309,79,2,15.5,5.2,0.274,0.372,0.316,0.688,8,0.303,0.285,85.8,31.7,1.6,3.3,28.8,25.9,33.3,6.2,27.2
"265","Velazquez, Nelson",676369,206,38,6,31.6,9.2,0.205,0.373,0.286,0.659,5,0.291,0.305,89.2,35,13.3,9.2,17.5,24.2,29.2,4.2,43.6
"266","Mancini III, Trey",641820,587,124,18,23,9,0.239,0.391,0.319,0.71,0,0.312,0.327,89.5,39.6,9.8,10.3,23.7,23.4,30.6,2.1,40.4
"267","Espinal, Santiago",669289,491,120,7,13.8,7.3,0.267,0.37,0.322,0.692,6,0.305,0.298,86.1,33.8,3.4,3.6,25.7,26.8,35.1,5.5,31.7
"268","Voit III, Luke",572228,568,113,22,31.5,9.7,0.226,0.402,0.308,0.71,1,0.311,0.322,89.8,34.6,14.7,8.3,23.2,27.2,21.4,5.2,44.3
"269","Ramirez, Harold",623912,435,121,6,16.6,4.4,0.3,0.404,0.343,0.747,3,0.327,0.31,88.5,32.2,4.8,6.6,26.9,17.9,37.3,6.3,41.2
"270","Smith, Kevin",675656,151,25,2,27.8,4.6,0.18,0.302,0.216,0.518,4,0.226,0.236,87,32.4,7.8,5.9,16.7,32.4,31.4,5.9,33.3
"271","Barnes, Austin",605131,212,38,8,17.5,12.7,0.212,0.38,0.324,0.704,2,0.315,0.298,87.4,31,4.8,5.5,18.6,31.7,33.1,6.2,35.2
"272","Hays, Austin",669720,582,134,16,19.6,5.8,0.25,0.413,0.306,0.719,2,0.314,0.298,87.7,32.3,5.2,7.1,23.3,25.5,35.1,3.3,37.7
"273","Friedl Jr., TJ",670770,258,54,8,15.5,7.8,0.24,0.436,0.314,0.75,7,0.323,0.283,87.2,30.9,4.7,6.8,20.4,36.1,23.6,8.4,29.8
"274","Mateo, Jorge",622761,533,109,13,27.6,5.1,0.221,0.379,0.267,0.646,35,0.281,0.272,86.8,35.5,6,5.7,21.6,29.5,30.7,6.3,32.7
"275","Stott, Bryson",681082,466,100,10,19.1,7.7,0.234,0.358,0.295,0.653,12,0.289,0.284,88.1,29.4,4.4,4.4,26.5,26.8,33.2,4.4,36.8
"276","Laureano, Ramon",657656,383,73,13,27.2,6.5,0.211,0.376,0.287,0.663,11,0.294,0.307,88.7,28.9,11.6,4.1,23.6,26.9,29.3,4.5,38.4
"277","Zunino, Mike",572287,123,17,5,37.4,4.9,0.148,0.304,0.195,0.499,0,0.219,0.252,91.8,34.3,8.6,12.9,20,38.6,17.1,2.9,41.4
"278","Mendick, Danny",664901,106,28,3,21.7,6.6,0.289,0.443,0.343,0.786,1,0.344,0.273,86.8,38.7,4,2.7,25.3,25.3,38.7,4,20
"279","Suwinski, Jack",669261,372,66,19,30.6,11,0.202,0.411,0.298,0.709,4,0.311,0.307,88.3,26.3,12.2,7.5,19.7,25.8,28.6,5.6,40.4
"280","Segura, Jean",516416,387,98,10,15,6.5,0.277,0.387,0.336,0.723,13,0.32,0.303,87.6,28.3,4.4,4,23.9,17.5,45.1,4,38.4
"281","Thompson, Bubba",669352,181,45,1,30.9,3.9,0.265,0.312,0.302,0.614,18,0.274,0.203,84.8,21.6,1.7,4.3,15.5,23.3,38.8,16.4,21.6
"282","Diaz, Lewin",650331,174,27,5,31,6.3,0.169,0.287,0.224,0.511,1,0.228,0.219,88.3,29.6,5.6,4.6,18.5,38,30.6,2.8,28.7
"283","Trevino, Jose",624431,353,83,11,17.6,4.2,0.248,0.388,0.283,0.671,2,0.293,0.281,87.9,31,5.1,4,24.8,31,29.2,4.4,35
"284","Almora Jr., Albert",546991,235,48,5,19.6,7.2,0.223,0.349,0.282,0.631,3,0.279,0.27,84,29.8,1.8,4.1,25.1,21.6,37.4,7.6,25.4
"285","Hosmer, Eric",543333,419,102,8,15.3,8.8,0.268,0.382,0.334,0.716,0,0.313,0.311,88.4,29.3,5.7,5.7,22.4,15.5,43.8,5.7,39.7
"286","Adams, Riley",656180,155,25,5,29.7,7.7,0.176,0.31,0.245,0.555,0,0.249,0.274,90.2,25,9.4,9.4,14.6,24,38.5,3.1,45.8
"287","Estrada, Thairo",642731,541,127,14,16.5,6.1,0.26,0.4,0.322,0.722,21,0.317,0.299,86.2,31.6,4.4,4.7,24.2,21,38.5,6.7,31.1
"288","Kennedy, Buddy",671083,94,18,1,24.5,8.5,0.217,0.325,0.287,0.612,0,0.271,0.258,88.6,38.7,1.6,6.5,24.2,32.3,35.5,0,32.3
"289","Yelich, Christian",592885,671,145,14,24.1,13.1,0.252,0.383,0.355,0.738,19,0.328,0.335,91.5,30.3,8.2,6.7,25.5,13.2,43.3,3.1,48.6
"290","Escobar, Eduardo",500871,542,119,20,23.8,7.4,0.24,0.43,0.295,0.725,0,0.311,0.314,88.3,38.7,9.4,8.9,23.7,33.3,21,3.5,37.6
"291","Madrigal, Nick",663611,228,52,0,11.8,6.1,0.249,0.282,0.305,0.587,3,0.267,0.283,85.9,26.6,0,1.6,23.9,16.3,51.1,4.3,24.6
"292","Allen, Nick",669397,326,62,4,19.6,5.8,0.207,0.291,0.256,0.547,3,0.245,0.238,83.9,26,1.2,3.3,24,23.1,39.7,8.7,22.3
"293","Nootbaar, Lars",663457,347,66,14,20.5,14.7,0.228,0.448,0.34,0.788,4,0.342,0.346,91.7,30.4,12.1,4.9,22.3,23.2,33.5,4,46
"294","Fairchild, Stuart",656413,110,24,5,30.9,7.3,0.247,0.464,0.336,0.8,0,0.35,0.317,88.9,31.7,9.5,7.9,20.6,20.6,36.5,4.8,41.3
"295","Franco, Maikel",596748,388,85,9,19.3,3.1,0.229,0.342,0.255,0.597,1,0.261,0.272,87,33.1,4.7,5.7,25.1,25.8,32.4,5.4,34.4
"296","Lamb, Jake",571875,111,21,3,34.2,9.9,0.216,0.392,0.315,0.707,0,0.314,0.314,91.5,35.6,11.9,6.8,25.4,28.8,25.4,1.7,44.1
"297","DeJong, Paul",657557,237,33,6,33.3,8.9,0.157,0.286,0.245,0.531,3,0.241,0.267,87.6,25.6,9.8,5.3,20.3,39.1,20.3,5.3,37.6
"298","Madris, Bligh",676632,123,20,1,25.2,8.1,0.177,0.265,0.244,0.509,2,0.231,0.262,88.9,30.5,4.9,7.3,20.7,20.7,41.5,4.9,41.5
"299","Pena, Jeremy",665161,558,132,22,24.2,3.9,0.253,0.426,0.289,0.715,11,0.309,0.3,88.1,32.9,9.7,5.4,25,19.9,33.7,5.9,36.7
"300","Perdomo, Geraldo",672695,500,84,5,20.6,10,0.195,0.262,0.285,0.547,9,0.253,0.269,85,28.1,2,2,25.4,25.1,33.6,10.8,25.1
"301","Nevin, Tyler",663527,184,31,2,25,10.9,0.197,0.261,0.299,0.56,0,0.261,0.293,87.3,34.2,3.5,5.3,26.3,32.5,25.4,6.1,37.7
"302","Jones, Nolan",666134,94,21,2,33,8.5,0.244,0.372,0.309,0.681,0,0.297,0.325,89.3,49.1,14.5,7.3,27.3,23.6,21.8,5.5,49.1
"303","Castro, Willi",650489,392,88,8,20.9,3.8,0.241,0.367,0.284,0.651,9,0.285,0.29,84.8,35.5,3.5,4.2,29.3,25.4,31.4,5.9,31.4
"304","Mitchell, Cal",668751,232,48,5,22.4,7.8,0.226,0.349,0.286,0.635,3,0.281,0.292,89.9,34,4.9,5.6,27.2,21.6,36.4,4.3,40.7
"305","Carpenter, Kerry",681481,113,26,6,28.3,5.3,0.252,0.485,0.31,0.795,0,0.342,0.294,87.2,37.5,11.1,8.3,22.2,25,30.6,2.8,36.1
"306","Duffy, Matt",622110,247,57,2,20.2,6.9,0.25,0.311,0.308,0.619,0,0.279,0.28,87.1,38.8,2.8,5.1,28.7,24.2,37.6,1.1,25.8
"307","Iglesias, Jose",578428,467,128,3,12,3.6,0.292,0.38,0.328,0.708,2,0.312,0.281,83.8,30.6,0.5,2.3,29,20.5,40.9,6,27.7
"308","Barrero, Jose",676480,174,25,2,43.7,5.2,0.152,0.206,0.195,0.401,4,0.183,0.18,87.5,33.7,2.2,6.7,22.5,34.8,25.8,6.7,35.2
"309","Azocar, Jose",640492,216,52,0,20.4,5.6,0.257,0.332,0.298,0.63,5,0.278,0.277,88.3,31.3,2.5,5,25,23.8,37.5,5,30.6
"310","Pederson, Joc",592626,433,104,23,23.1,9.7,0.274,0.521,0.353,0.874,3,0.373,0.367,93.2,34.2,15.1,5.6,23.9,27.8,22.9,3.9,52.1
"311","Huff, Sam",669087,132,29,4,31.8,8.3,0.24,0.372,0.303,0.675,1,0.296,0.294,88.9,35.4,10.1,2.5,25.3,24.1,34.2,3.8,36.7
"312","Springer III, George",543807,583,137,25,17.2,9.3,0.267,0.472,0.342,0.814,14,0.352,0.342,88.7,31.8,8.4,7.2,22,25.8,31.8,4.5,42.3
"313","Moran, Colin",592567,128,23,5,23.4,12.5,0.211,0.376,0.305,0.681,0,0.3,0.318,90.4,30.5,8.5,7.3,24.4,19.5,39,0,39
"314","Montero, Elehuris",660707,185,41,6,32.4,4.3,0.233,0.432,0.27,0.702,0,0.303,0.26,89.8,34.5,8.6,6.9,25.9,27.6,28.4,2.6,39.7
"315","Reyes, Franmil",614177,473,97,14,33.2,6.3,0.221,0.365,0.273,0.638,2,0.28,0.275,92,27.8,11.3,8.5,19,22.2,37.7,1.1,45.8
"316","Edman, Tommy",669242,630,153,13,17.6,7.3,0.265,0.4,0.324,0.724,32,0.318,0.308,88.6,31.6,6.2,5.1,25.6,20.7,37.2,4.5,37.8
"317","Stanton, Giancarlo",519317,452,84,31,30.3,11.1,0.211,0.462,0.297,0.759,0,0.327,0.35,95,26.9,19.3,4.5,20.5,19.7,34.5,1.1,52.3
"318","VanMeter, Josh",642165,192,32,3,23.4,9.9,0.187,0.292,0.266,0.558,4,0.251,0.288,88.1,37.5,4.7,7,29.7,30.5,24.2,3.9,33.6
"319","Pham, Tommy",502054,622,131,17,26.8,9,0.236,0.374,0.312,0.686,8,0.304,0.311,92.2,33.2,7.9,8.2,23.5,21.7,36,2.3,48.5
"320","Castro, Rodolfo",666801,277,59,11,26.7,7.9,0.233,0.427,0.296,0.723,5,0.314,0.28,87.3,25.6,6.7,7.2,20,21.7,38.3,5.6,35
"321","Tsutsugo, Yoshi",660294,193,29,2,25.9,9.8,0.171,0.229,0.249,0.478,0,0.221,0.254,88.8,32.3,5.6,3.2,22.6,28.2,40.3,0,36.3
"322","Aquino, Aristides",606157,276,51,10,36.6,6.2,0.197,0.363,0.246,0.609,2,0.267,0.243,85.6,27.2,8.2,1.9,20.9,32.3,24.7,9.5,34.6
"323","Pache, Cristian",665506,260,40,3,26.9,5.8,0.166,0.241,0.218,0.459,2,0.207,0.259,89.4,25.3,3.4,3.4,25.9,16.1,44.8,5.7,40.8
"324","Baddoo, Akil",668731,225,41,2,28.4,10.7,0.204,0.269,0.289,0.558,9,0.256,0.253,85,29.9,3.6,2.2,21.9,32.1,32.1,7.3,27
"325","Higgins, P.J.",664731,229,46,6,25.3,9.6,0.229,0.383,0.31,0.693,0,0.306,0.264,86,34.7,3.4,4.1,25.9,23.8,35.4,6.1,25.5
"326","Pollock, AJ",572041,527,120,14,18.6,6.1,0.245,0.389,0.292,0.681,3,0.297,0.317,88.8,32.9,9.4,5.8,23,23.3,33.4,4.8,42
"327","Cano, Robinson",429664,104,15,1,24,3.8,0.15,0.19,0.183,0.373,0,0.169,0.237,88.2,29.3,4,4,22.7,22.7,40,6.7,41.3
"328","Bregman, Alex",608324,656,142,23,11.7,13.3,0.259,0.454,0.366,0.82,1,0.358,0.35,88.9,36.2,7.3,9.4,24.3,32.6,23.3,2.9,37.8
"329","France, Ty",664034,613,151,20,15.3,5.7,0.274,0.436,0.338,0.774,0,0.337,0.321,87.6,34.8,5.4,5,27.5,21.9,35.3,3.9,36.8
"330","Semien, Marcus",543760,724,163,26,16.6,7.3,0.248,0.429,0.304,0.733,25,0.317,0.306,87.3,32.4,6.8,6.2,23.8,35.3,24.1,3.8,34.9
"331","Kiermaier, Kevin",595281,221,47,7,27.6,6.3,0.228,0.369,0.281,0.65,6,0.286,0.305,87.9,33.8,6.9,4.8,29,16.6,40.7,2.1,38.6
"332","Caratini, Victor",605170,314,54,9,21.3,9.9,0.199,0.342,0.3,0.642,0,0.289,0.309,89.4,30,6.3,5.3,28.5,20.3,35.7,3.9,43.5
"333","Bleday, JJ",668709,238,34,5,28.2,12.6,0.167,0.309,0.277,0.586,4,0.266,0.278,86.3,37.4,8.6,5,20.9,44.6,14.4,6.5,33.8
"334","Mercedes, Yermin",606213,83,17,1,20.5,10.8,0.233,0.342,0.325,0.667,0,0.301,0.329,87.5,42.9,7.1,3.6,30.4,37.5,17.9,3.6,28.6
"335","Cabrera, Miguel",408234,433,101,5,23.3,6.5,0.254,0.317,0.305,0.622,1,0.275,0.275,89.9,35.2,4.7,3.7,28.9,18.3,41.9,2,38.2
"336","Bader, Harrison",664056,313,73,5,19.8,4.8,0.25,0.356,0.294,0.65,17,0.286,0.27,83.4,28.4,3.4,5.6,24.1,31.9,26.3,8.6,26.3
"337","Cain, Lorenzo",456715,156,26,1,23.1,5.1,0.179,0.234,0.231,0.465,2,0.212,0.23,87.9,21.8,0,8.2,19.1,19.1,48.2,5.5,36.4
"338","Grossman, Robbie",543257,477,86,7,27,11.7,0.209,0.311,0.31,0.621,6,0.283,0.281,86.7,38.5,3.5,7.7,26.9,37.4,22.4,2.1,30.4
"339","Thompson, Trayce",572204,255,56,13,36.5,12.5,0.256,0.507,0.353,0.86,4,0.37,0.366,92.2,45.3,16.4,7.8,27.3,25,21.1,2.3,46.9
"340","Harper, Bryce",547180,426,106,18,20.4,10.8,0.286,0.514,0.364,0.878,11,0.369,0.38,92.1,37.2,12.8,6.2,26.6,21.4,29,3.8,47.9
"341","Kirk, Alejandro",672386,541,134,14,10.7,11.6,0.285,0.415,0.372,0.787,0,0.347,0.351,90.5,32,6.7,6.5,27.2,20.2,35.3,3.8,45.4
"342","Stowers, Kyle",669065,98,23,3,29.6,5.1,0.253,0.418,0.306,0.724,0,0.316,0.335,91.1,38.7,11.3,3.2,32.3,24.2,24.2,4.8,50
"343","Serven, Brian",661531,205,38,6,21.5,6.3,0.203,0.332,0.261,0.593,0,0.263,0.254,84.5,32.9,2.7,4.1,26.7,24,33.6,8.2,29.5
"344","Clemens, Kody",665019,127,17,5,26,6.3,0.145,0.308,0.197,0.505,1,0.22,0.252,89.4,26.7,5.8,5.8,20.9,37.2,27.9,2.3,37.2
"345","Grissom, Vaughn",687093,156,41,5,21.8,7.1,0.291,0.44,0.353,0.793,5,0.345,0.326,84.6,35.2,7.4,2.8,28.7,19.4,34.3,7.4,34.3
"346","Moustakas, Mike",519058,285,54,7,26.3,8.4,0.214,0.345,0.295,0.64,2,0.286,0.27,87.6,36.1,6.1,5.6,22.8,36.7,25.6,3.3,33.9
"347","Grisham, Trent",663757,524,83,17,28.6,10.9,0.184,0.341,0.284,0.625,7,0.28,0.296,88.3,25.5,8.1,5.8,19,28.1,28.4,10.3,35.5
"348","Rizzo, Anthony",519203,548,104,32,18.4,10.6,0.224,0.48,0.338,0.818,6,0.352,0.349,89.4,34.2,10.9,7.7,21.6,31.7,23.8,4.4,41
"349","Burdick, Peyton",680814,102,19,4,34.3,7.8,0.207,0.38,0.284,0.664,1,0.294,0.296,90,35.1,10.5,8.8,19.3,29.8,28.1,3.5,38.6
"350","Rodriguez, Julio",677594,560,145,28,25.9,7.1,0.284,0.509,0.345,0.854,25,0.366,0.337,92,32.7,13.1,8.4,19.3,19.1,36.5,2.5,50.7
"351","Harris II, Michael",671739,441,123,19,24.3,4.8,0.297,0.514,0.339,0.853,20,0.368,0.335,89.5,32.8,10.1,6.8,20.8,12.7,41.9,7.5,45.1
"352","Slater, Austin",596103,325,73,7,27.4,12.3,0.264,0.408,0.366,0.774,12,0.344,0.351,89,43.2,10.5,6.8,28.9,14.2,33.7,5.8,39.5
"353","Reynolds, Bryan",668804,614,142,27,23,9.1,0.262,0.461,0.345,0.806,7,0.349,0.329,90.2,35.5,7.9,6,24.8,25.8,31.5,4,42.9
"354","Peralta, David",444482,490,110,12,23.3,8.4,0.251,0.415,0.316,0.731,1,0.315,0.313,90.3,35,8.5,9.1,26.9,25.7,28.1,1.8,44.4
"355","Culberson, Charlie",518586,124,29,2,25,4,0.252,0.357,0.283,0.64,2,0.281,0.251,85.3,28.4,1.1,9.1,27.3,12.5,38.6,11.4,27.3
"356","Maldonado, Martin",455117,379,64,15,30.6,5.8,0.186,0.352,0.248,0.6,0,0.264,0.253,88.4,31.6,8.1,6,21.4,29.1,29.9,5.1,40.2
"357","Stassi, Max",545358,375,60,9,29.9,10.1,0.18,0.303,0.267,0.57,0,0.258,0.266,88.6,26,9.4,4.9,17.9,23.8,40.4,3.1,39.5
"358","Carpenter, Matt",572761,154,39,15,22.7,12.3,0.305,0.727,0.412,1.139,0,0.472,0.36,89.8,41.1,13.7,9.5,22.1,32.6,14.7,6.3,42.1
"359","Camargo, Johan",622666,166,36,3,22.3,7.8,0.237,0.316,0.297,0.613,0,0.276,0.267,86.4,37.1,2.6,2.6,24.1,30.2,34.5,6,27.6
"360","Yastrzemski, Mike",573262,558,104,17,25.3,10.9,0.214,0.392,0.305,0.697,5,0.307,0.314,89.9,36.2,11.1,5.1,21.4,32.8,24.5,4.8,42.5
"361","Machado, Manny",592518,644,172,32,20.7,9.8,0.298,0.531,0.366,0.897,9,0.382,0.338,91.5,36.7,9.8,9.8,24.4,25.5,27.5,2.9,49
"362","Dubon, Mauricio",643289,265,52,5,11.3,4.9,0.214,0.313,0.252,0.565,2,0.248,0.272,84.7,28.1,2.3,5.9,22.6,33,28.1,8.1,29.9
"363","Sanchez, Gary",596142,471,86,16,28.9,8.5,0.205,0.377,0.282,0.659,2,0.29,0.321,90.5,29.2,13.5,5.9,19.1,27.1,26.4,7.6,49.3
"364","Alberto, Hanser",593643,159,38,2,15.7,1.9,0.244,0.365,0.258,0.623,0,0.27,0.234,82.9,30.5,1.5,6.9,20.6,27.5,33.6,9.9,18.3
"365","Lopez, Nicky",670032,480,99,0,13.1,6,0.227,0.273,0.281,0.554,13,0.251,0.273,84.9,31.3,1.6,2.9,25,20.6,40.9,9.1,22.9
"366","Castellanos, Nick",592206,558,138,13,23.3,5.2,0.263,0.389,0.305,0.694,7,0.304,0.302,87.5,36.9,6.6,6.1,26.5,27.5,28.8,4,35.1
"367","Olson, Matt",621566,699,148,34,24.3,10.7,0.24,0.477,0.325,0.802,0,0.344,0.347,92.9,33.8,13.6,7.6,22,27.6,27.1,2,50.9
