"","batter_name","batter_id","PA","H","HR","k_percent","bb_percent","AVG","SLG","OBP","OPS","SB","wOBA","xwOBA","EV","sweet_spot_percent","barrel_rate","solidcontact_percent","flareburner_percent","poorlyunder_percent","poorlytopped_percent","poorlyweak_percent","hard_hit_percent"
"608","Raley, Luke",670042,72,12,1,33.3,9.7,0.197,0.279,0.306,0.585,0,0.271,0.286,90.1,31.6,13.2,5.3,18.4,31.6,26.3,5.3,39.5
"609","Contreras, Mark",676628,61,7,3,34.4,1.6,0.121,0.293,0.148,0.441,1,0.189,0.304,94.9,28.9,31.6,0,13.2,18.4,36.8,0,57.9
"610","Castro, Jason",488771,88,9,1,45.5,9.1,0.115,0.179,0.205,0.384,1,0.183,0.239,88.6,35.9,5.1,10.3,25.6,23.1,33.3,2.6,35.9
"611","Burleson, Alec",676475,53,9,1,17,9.4,0.188,0.271,0.264,0.535,1,0.245,0.325,91.7,35.9,10.3,5.1,25.6,15.4,38.5,5.1,48.7
"612","Park, Hoy",660829,60,11,2,25,6.7,0.216,0.373,0.276,0.649,1,0.282,0.269,85.1,20,10,0,25,22.5,30,12.5,25
"613","Stevenson, Cal",670276,71,10,0,32.4,11.3,0.167,0.217,0.261,0.478,1,0.224,0.277,87.6,32.5,5,5,32.5,20,27.5,10,32.5
"614","Peraza, Oswald",672724,57,15,1,15.8,10.5,0.306,0.429,0.404,0.833,2,0.371,0.343,81.6,25,5,2.5,27.5,12.5,45,7.5,30
"615","Diaz, Jordan",672478,51,13,0,13.7,3.9,0.265,0.327,0.294,0.621,0,0.275,0.229,86.9,26.2,0,9.5,9.5,14.3,66.7,0,31
"616","Matijevic, J.J.",656695,71,14,2,35.2,2.8,0.209,0.328,0.254,0.582,1,0.258,0.259,88.8,33.3,2.4,7.1,31,16.7,40.5,2.4,42.9
"617","Quinn, Roman",596451,87,17,0,41.4,8,0.215,0.304,0.287,0.591,4,0.266,0.244,91.3,30.2,4.7,7,34.9,25.6,14,14,41.9
"618","Robinson, Chuckie",642020,60,8,2,28.3,0,0.136,0.271,0.136,0.407,0,0.173,0.26,86.2,23.3,9.3,2.3,20.9,9.3,46.5,11.6,30.2
"619","Soto, Livan",670869,59,22,1,22,3.4,0.4,0.582,0.414,0.996,1,0.424,0.281,83.8,40.9,0,0,43.2,29.5,15.9,9.1,15.9
"620","Capel, Conner",668843,59,16,3,16.9,8.5,0.308,0.519,0.356,0.875,1,0.371,0.336,87.6,34.1,6.8,0,29.5,27.3,34.1,2.3,31.8
"621","Heredia, Guillermo",628338,82,12,3,39,7.3,0.158,0.342,0.22,0.562,0,0.246,0.228,86,38.6,11.4,9.1,11.4,27.3,34.1,6.8,31.8
"622","Calhoun, Willie",641432,62,7,1,12.9,14.5,0.135,0.25,0.274,0.524,0,0.249,0.309,89.4,22.7,2.3,4.5,25,38.6,25,2.3,38.6
"623","Cameron, Daz",663662,70,14,1,28.6,7.1,0.219,0.344,0.286,0.63,2,0.28,0.303,90.4,43.2,9.1,9.1,22.7,29.5,29.5,0,43.2
"624","Lagares, Juan",501571,62,11,0,24.2,3.2,0.183,0.25,0.21,0.46,0,0.203,0.242,88.4,40,2.2,8.9,24.4,28.9,33.3,2.2,40
"625","Jankowski, Travis",608671,64,9,0,15.6,12.5,0.164,0.164,0.281,0.445,3,0.222,0.259,80.5,22.2,0,2.2,15.6,13.3,55.6,13.3,22.2
"626","Maton, Nick",665155,85,18,5,34.1,11.8,0.25,0.514,0.341,0.855,0,0.364,0.306,86.6,37.8,6.7,8.9,31.1,26.7,17.8,8.9,31.1
"627","Pinto, Rene",650907,83,17,2,42.2,2.4,0.212,0.325,0.241,0.566,0,0.249,0.219,89.1,20,4.4,6.7,24.4,26.7,33.3,4.4,42.2
"628","Leon, Sandy",506702,86,12,0,31.4,15.1,0.169,0.211,0.298,0.509,0,0.246,0.263,84.3,39.1,0,4.3,32.6,34.8,19.6,8.7,26.1
"629","Palacios, Jermaine",650339,77,10,2,35.1,5.2,0.143,0.229,0.184,0.413,0,0.184,0.237,87.5,34.8,6.5,2.2,21.7,26.1,37,6.5,39.1
"630","Encarnacion, Jerar",666464,81,14,3,39.5,3.7,0.182,0.338,0.21,0.548,2,0.236,0.231,90.5,30.4,6.5,10.9,17.4,19.6,43.5,2.2,41.3
"631","Thaiss, Matt",642136,81,15,2,29.6,13.6,0.217,0.319,0.321,0.64,1,0.286,0.289,88.5,21.7,6.5,0,26.1,21.7,45.7,0,37
"632","Munoz, Yairo",622168,60,12,3,16.7,5,0.211,0.404,0.25,0.654,1,0.283,0.263,85,14.9,4.3,2.1,14.9,17,55.3,6.4,36.2
"633","Groshans, Jordan",677954,65,16,1,20,6.2,0.262,0.311,0.308,0.619,0,0.278,0.263,87.1,37.5,2.1,2.1,29.2,25,37.5,4.2,37.5
"634","Stefanic, Michael",683021,69,12,0,17.4,7.2,0.197,0.23,0.279,0.509,0,0.239,0.266,84.8,28,2,4,24,20,44,6,22
"635","Gosselin, Phil",594838,77,11,0,31.2,2.6,0.149,0.176,0.182,0.358,0,0.163,0.207,86.4,30,2,4,22,34,32,6,36
"636","Garrett, Stone",656448,84,21,4,32.1,3.6,0.276,0.539,0.309,0.848,3,0.36,0.268,92.9,28,10,8,20,36,26,0,52
"637","Bouchard, Sean",656248,97,22,3,25.8,21.6,0.297,0.5,0.454,0.954,0,0.417,0.36,89.8,44,2,8,42,24,20,4,40
"638","Rios, Edwin",621458,92,21,7,39.1,5.4,0.244,0.5,0.293,0.793,0,0.338,0.312,88.5,46,14,8,28,18,28,4,40
"639","Strange-Gordon, Dee",543829,59,18,0,13.6,0,0.305,0.356,0.305,0.661,3,0.288,0.213,84.4,25.5,0,2,21.6,19.6,51,5.9,17.6
"640","Davis, Jonathan",641505,91,17,0,28.6,15.4,0.224,0.237,0.344,0.581,7,0.278,0.284,84.6,33.3,0,3.9,31.4,13.7,43.1,7.8,21.6
"641","Astudillo, Willians",553902,55,13,1,5.5,1.8,0.241,0.296,0.255,0.551,1,0.243,0.265,83,27.5,0,2,29.4,29.4,31.4,7.8,21.6
"642","Mathias, Mark",664029,91,20,6,33,9.9,0.247,0.506,0.319,0.825,3,0.353,0.298,90.2,34.6,11.5,5.8,30.8,19.2,32.7,0,46.2
"643","Casas, Triston",671213,95,15,5,24.2,20,0.197,0.408,0.358,0.766,1,0.344,0.325,86,28.3,7.5,5.7,13.2,22.6,45.3,5.7,41.5
"644","Mayfield, Jack",608686,74,13,1,23,4.1,0.186,0.271,0.23,0.501,1,0.224,0.221,84.5,24.5,1.9,3.8,22.6,35.8,35.8,0,24.5
